"statelist_2015","statelist_2005","ListingStatus","tessCode","tessURL","scientificname","taxonomicauthorityid","commonname","taxonomicgroup","taxonomicrank","matchmethod","scientificnames_submitted"
"Georgia,South Carolina,Tennessee,West Virginia","Georgia","Species of Concern","Q18R","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q18R","Monotropsis odorata","https://services.itis.gov/?q=tsn:23780","pygmypipes","Plants","Species","Exact Match","Monotropsis odorata"
"Illinois","",NA,NA,NA,"Anacampsis wikeri",NA,"a moth","Other","Undetermined","Not Matched","Anacampsis wikeri"
"Nebraska","Nebraska",NA,NA,NA,"Cardamine pensylvanica","https://services.itis.gov/?q=tsn:22772","Pennsylvania bittercress","Plants","Species","Exact Match","Cardamine pensylvanica"
"Illinois","Illinois",NA,NA,NA,"Orconectes kentuckiensis","https://services.itis.gov/?q=tsn:97452","Kentucky crayfish","Crustaceans","Species","Exact Match","Orconectes kentuckiensis"
"Colorado,Wyoming","Colorado,New Mexico,Wyoming","Under Review in the Candidate or Petition Process","D026","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=D026","Anaxyrus boreas boreas","https://services.itis.gov/?q=tsn:776686","Boreal Toad","Amphibians","Subspecies","Exact Match","Bufo boreas boreas, Anaxyrus boreas boreas"
"California","","Threatened","Q03G","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q03G","Arctostaphylos myrtifolia","https://services.itis.gov/?q=tsn:23502","Ione manzanita","Plants","Species","Exact Match","Arctostaphylos myrtifolia"
"Alabama,Kentucky,North Carolina,Tennessee,Virginia","Kentucky,Louisiana,North Carolina,Tennessee",NA,NA,NA,"Ophisaurus attenuatus longicaudus","https://services.itis.gov/?q=tsn:174108","Eastern Slender Glass Lizard","Reptiles","Subspecies","Exact Match","Ophisaurus attenuatus longicaudus"
"West Virginia","","Resolved Taxon","Q1RW","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1RW","Synandra hispidula","https://services.itis.gov/?q=tsn:833088","Guyandotte Beauty","Plants","Species","Followed Accepted TSN","Synandra hispidula"
"California","California","Resolved Taxon","J00X","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=J00X","Microcina edgewoodensis","https://services.itis.gov/?q=tsn:1014080","Edgewood Park micro-blind harvestman","Arachnids","Species","Exact Match","Microcina edgewoodensis"
"Florida","Florida",NA,NA,NA,"Mycetophyllia aliciae","https://services.itis.gov/?q=tsn:53482","Knobby Cactus Coral","Other Invertebrates","Species","Exact Match","Mycetophyllia aliciae , Mycetophyllia aliciae"
"Virginia","Virginia","Species of Concern","I081","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I081","Tischeria perplexa","https://www.sciencebase.gov/catalog/file/get/56d720ece4b015c306f442d5?f=__disk__4f%2F17%2F79%2F4f177961623ebb82cc1084ca05f4d2d4ecbae7cd","Chestnut leaf-mining moth","Other","Undetermined","Historic Match","Tischeria perplexa"
"California,Colorado,Nevada,New Mexico,Oregon,Utah,Washington,Wyoming","Nevada,Utah","Resolved Taxon","A0J6","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=A0J6","Ochotona princeps","https://services.itis.gov/?q=tsn:180109","pika","Mammals","Species","Exact Match","Ochotona princips, Ochotona princeps"
"Florida","",NA,NA,NA,"Plestiodon reynoldsi",NA,"Florida Sand Skink","Other","Undetermined","Not Matched","Plestiodon reynoldsi"
"Texas","Texas",NA,NA,NA,"Batrisodes reyesi","https://services.itis.gov/?q=tsn:691451","A cave obligate beetle","Insects","Species","Exact Match","Batrisodes (Excavodes) reyesi (Chandler), Batrisodes reyesi"
"Florida,Iowa,Nebraska,New York,North Dakota,Ohio,Pennsylvania,Virginia,West Virginia","Kansas,Nebraska,New York,North Dakota,Ohio,Oklahoma,Pennsylvania",NA,NA,NA,"Amblema plicata","https://services.itis.gov/?q=tsn:80035","threeridge","Mollusks","Species","Exact Match","Amblema plicata , Amblema plicata"
"Florida,Iowa,Kansas,Minnesota,Missouri,Nebraska,Pennsylvania,Wisconsin","Arkansas,Florida,Iowa,Kansas,Missouri,Nebraska,Ohio,Pennsylvania,Wisconsin",NA,NA,NA,"Utterbackia suborbiculata","https://services.itis.gov/?q=tsn:983771","flat floater","Mollusks","Species","Followed Accepted TSN","Anodonta suborbiculata , Anodonta suborbiculata"
"Connecticut,Delaware,District of Columbia,Maryland,Massachusetts,Michigan,New Hampshire,New Jersey,New York,Ohio,Pennsylvania,Rhode Island,South Carolina,Virginia","Connecticut,Delaware,District of Columbia,Maryland,Massachusetts,Michigan,New Hampshire,New Jersey,New York,North Carolina,Ohio,Pennsylvania,Rhode Island,South Carolina,Virginia",NA,NA,NA,"Ligumia nasuta","https://services.itis.gov/?q=tsn:80195","eastern pondmussel","Mollusks","Species","Exact Match","Ligumia nasuta, Ligumia nasuta "
