"statelist_2015","statelist_2005","ListingStatus","tessCode","tessURL","scientificname","taxonomicauthorityid","commonname","taxonomicgroup","taxonomicrank","matchmethod","scientificnames_submitted"
"Oklahoma","",NA,NA,NA,"Trigenotyla blacki",NA,"a cave obligate millipede","Other","Undetermined","Not Matched","Trigenotyla blacki"
"Oklahoma","",NA,NA,NA,"Arrhopalites jay",NA,"a cave springtail","Other","Undetermined","Not Matched","Arrhopalites jay"
"Texas","",NA,NA,NA,"Nicagus occultus","https://services.itis.gov/?q=tsn:930030","A stag beetle","Insects","Species","Exact Match","Nicagus occultus"
"Georgia","",NA,NA,NA,"Elimia mutabilis","https://services.itis.gov/?q=tsn:71783","oak elimia","Mollusks","Species","Exact Match","Elimia mutabilis"
"Virginia","Virginia","Under Review in the Candidate or Petition Process","I0JU","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I0JU","Pseudanophthalmus limicola","https://services.itis.gov/?q=tsn:932004","Shenandoah cave beetle","Insects","Species","Exact Match","Pseudanophthalmus limicola"
"Texas","",NA,NA,NA,"Farrodes mexicanus","https://services.itis.gov/?q=tsn:609642","A mayfly","Insects","Species","Exact Match","Farrodes mexicanus "
"Texas","","Species of Concern","I07B","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I07B","Eximacris superbum","https://services.itis.gov/?q=tsn:658204","Superb grasshopper","Insects","Species","Exact Match","Eximacris (Spharoagemon) superbum"
"Texas","",NA,NA,NA,"Dichopetala oreoeca","https://services.itis.gov/?q=tsn:658160","A katydid","Insects","Species","Exact Match","Dichopetala oreoeca"
"Texas","",NA,NA,NA,"Cemophora coccinea lineri","https://services.itis.gov/?q=tsn:209268","Texas Scarlet Snake","Reptiles","Subspecies","Exact Match","Cemophora coccinea lineri"
"Texas","",NA,NA,NA,"Decinea percosius","https://services.itis.gov/?q=tsn:706679","Double-dotted Skipper","Insects","Species","Exact Match","Decinea percosius"
"Texas","",NA,NA,NA,"Cryptocephalus downiei","https://services.itis.gov/?q=tsn:721221","A leaf beetle","Insects","Species","Exact Match","Cryptocephalus downiei "
"Texas","",NA,NA,NA,"Cotalpa conclamara","https://services.itis.gov/?q=tsn:928732","A scarab beetle","Insects","Species","Exact Match","Cotalpa conclamara"
"West Virginia","",NA,NA,NA,"Vernonia glauca","https://services.itis.gov/?q=tsn:38637","broadleaf ironweed","Plants","Species","Exact Match","Vernonia glauca"
"Alabama,Tennessee","Tennessee",NA,NA,NA,"Villosa taeniata","https://services.itis.gov/?q=tsn:80211","painted creekshell","Mollusks","Species","Exact Match","Villosa taeniata"
"Texas","","Species of Concern","I0F0","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I0F0","Cicindela obsoleta neojuvenilis","https://services.itis.gov/?q=tsn:697856","Rio Grande Grassland Tiger Beetle","Insects","Subspecies","Exact Match","Cicindela obsoleta neojuvenilis"
"Texas","",NA,NA,NA,"Batrisodes shadeae",NA,"A cave obligate beetle","Other","Undetermined","Not Matched","Batrisodes shadeae"
"Texas","",NA,NA,NA,"Batrisodes pekinsi",NA,"A cave obligate beetle","Other","Undetermined","Not Matched","Batrisodes pekinsi"
"Texas","",NA,NA,NA,"Batrisodes dentifrons",NA,"A cave obligate beetle","Other","Undetermined","Not Matched","Batrisodes dentifrons"
"Texas","",NA,NA,NA,"Batrisodes cryptotexanus",NA,"A cave obligate beetle","Other","Undetermined","Not Matched","Batrisodes cryptotexanus"
"Michigan,North Carolina,West Virginia","",NA,NA,NA,"Ventridens suppressus","https://services.itis.gov/?q=tsn:77282","flat dome","Mollusks","Species","Exact Match","Ventridens suppressus"
"Vermont","Vermont",NA,NA,NA,"Blethisa julii","https://services.itis.gov/?q=tsn:109559","A Ground Beetle","Insects","Species","Exact Match","Blethisa julii"
"Texas","",NA,NA,NA,"Baetodes alleni","https://services.itis.gov/?q=tsn:568581","A mayfly","Insects","Species","Exact Match","Baetodes alleni "
"California","","Species of Concern","Q0AD","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q0AD","Calochortus dunnii","https://services.itis.gov/?q=tsn:42844","Dunn's mariposa lily","Plants","Species","Exact Match","Calochortus dunnii"
"Texas","",NA,NA,NA,"Arethaea phantasma","https://services.itis.gov/?q=tsn:657900","Rio Grande Thread-legged katydid","Insects","Species","Exact Match","Arethaea phantasma"
"Texas","Florida",NA,NA,NA,"Thunnus albacares","https://services.itis.gov/?q=tsn:172423","yellowfin tuna","Fish","Species","Exact Match","Thunnus albacares"
"New Mexico","New Mexico,Utah,Wyoming",NA,NA,NA,"Ferrissia rivularis","https://services.itis.gov/?q=tsn:76572","creeping ancylid","Mollusks","Species","Exact Match","Ferrissia rivularis"
"Colorado","",NA,NA,NA,"Eutrema edwardsii","https://services.itis.gov/?q=tsn:502572","Edwards' mock wallflower","Plants","Species","Followed Accepted TSN","Eutrema penlandii"
"West Virginia","Vermont",NA,NA,NA,"Trillium cernuum","https://services.itis.gov/?q=tsn:43065","whip-poor-will flower","Plants","Species","Exact Match","Trillium cernuum"
"Vermont","",NA,NA,NA,"Crataegus oakesiana","https://services.itis.gov/?q=tsn:511677","Oake's Hawthorn","Plants","Species","Exact Match","Crataegus oakesiana"
"Texas","",NA,NA,NA,"Ctenogobius claytonii","https://services.itis.gov/?q=tsn:637214","Mexican goby","Fish","Species","Exact Match","Ctenogobius claytonii"
"Texas","",NA,NA,NA,"Percina apristis",NA,"Guadalupe darter","Other","Undetermined","Not Matched","Percina apristis"
"Georgia,Louisiana,Tennessee","Georgia",NA,NA,NA,"Spiranthes magnicamporum","https://services.itis.gov/?q=tsn:43468","Great Plains lady's tresses","Plants","Species","Exact Match","Spiranthes magnicamporum"
"Georgia","","Resolved Taxon","Q0LY","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q0LY","Delphinium alabamicum","https://services.itis.gov/?q=tsn:18527","Alabama larkspur","Plants","Species","Exact Match","Delphinium alabamicum"
"Texas","",NA,NA,NA,"Streptocephalus linderi","https://services.itis.gov/?q=tsn:83711","Linder fairy shrimp","Crustaceans","Species","Exact Match","Streptocephalus linderi "
"Texas","",NA,NA,NA,"Procambarus ceruleus","https://services.itis.gov/?q=tsn:650388","Blueclaw chimney crayfish","Crustaceans","Species","Exact Match","Procambarus ceruleus "
"Texas","",NA,NA,NA,"Paramexiweckelia ruffoi","https://services.itis.gov/?q=tsn:656853","A cave obligate amphipod","Crustaceans","Species","Exact Match","Paramexiweckelia ruffoi "
"Texas","",NA,NA,NA,"Paraholsingerius smaragdinus","http://www.marinespecies.org/rest/AphiaRecordByAphiaID/490510","A cave obligate amphipod","Crustaceans","Species","Exact Match","Paraholsingerius smaragdinus "
"Texas","",NA,NA,NA,"Parabogidiella americana","https://services.itis.gov/?q=tsn:656708","A cave obligate amphipod","Crustaceans","Species","Exact Match","Parabogidiella americana "
"Texas","",NA,NA,NA,"Nitocrellopsis texana","https://services.itis.gov/?q=tsn:667878","A cave obligate copepod","Crustaceans","Species","Exact Match","Nitocrellopsis texana"
"Texas","",NA,NA,NA,"Lirceolus nidulus","http://www.marinespecies.org/rest/AphiaRecordByAphiaID/261012","A cave obligate isopod","Crustaceans","Species","Exact Match","Lirceolus nidulus"
"California","",NA,NA,NA,"Castilleja campestris var. succulenta",NA,"succulent owlâ<U+0080><U+0099>s-clover","Other","Undetermined","Not Matched","Castilleja campestris var. succulenta"
"Alaska,California,Hawaii,Washington","Alaska,Hawaii","Endangered","B00Y","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B00Y","Phoebastria albatrus","https://services.itis.gov/?q=tsn:554377","Short-tailed Albatross","Birds","Species","Exact Match","Phoebastria albatrus"
"Texas","",NA,NA,NA,"Fallicambarus kountzeae","http://www.marinespecies.org/rest/AphiaRecordByAphiaID/885267","Big Thicket burrowing crayfish","Crustaceans","Species","Exact Match","Fallicambarus kountzeae "
"Tennessee","",NA,NA,NA,"Rhynchospora perplexa","https://services.itis.gov/?q=tsn:40193","pineland beaksedge","Plants","Species","Exact Match","Rhynchospora perplexa"
"California","",NA,NA,NA,"Hesperocyparis abramsiana var. butanoensis",NA,"Butano Ridge cypress","Other","Undetermined","Not Matched","Hesperocyparis abramsiana var. butanoensis"
"Texas","",NA,NA,NA,"Thryomanes bewickii bewickii","https://services.itis.gov/?q=tsn:178563","Bewick's Wren","Birds","Subspecies","Exact Match","Thryomanes bewickii bewickii"
"Texas","",NA,NA,NA,"Aratinga holochlora","https://services.itis.gov/?q=tsn:177683","Green Parakeet","Birds","Species","Exact Match","Aratinga holochlora"
"Connecticut,Delaware,Maine,Maryland,New York,Pennsylvania,Vermont","",NA,NA,NA,"Bombus ashtoni","https://services.itis.gov/?q=tsn:714784","Ashton Cuckoo Bumble Bee","Insects","Species","Exact Match","Bombus ashtoni"
"Virginia","Virginia",NA,NA,NA,"Neurocordulia virginiensis","https://services.itis.gov/?q=tsn:101935","Cinnamon Shadowdragon","Insects","Species","Exact Match","Neurocordulia virginiensis"
"Texas","",NA,NA,NA,"Cicurina elliotti",NA,"A cave obligate spider","Other","Undetermined","Not Matched","Cicurina elliotti"
"Vermont","",NA,NA,NA,"Galium trifidum ssp. brevipes","https://services.itis.gov/?q=tsn:525797","Limestone Swamp Bedstraw","Plants","Subspecies","Followed Accepted TSN","Galium brevipes"
"Hawaii","Hawaii","Endangered","Q1SR","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1SR","Schiedea trinervis","https://services.itis.gov/?q=tsn:823599","No Common Name","Plants","Species","Exact Match","Schiedea trinervis"
"Nebraska","",NA,NA,NA,"Incisalia henrici",NA,"Henry's Elfin","Other","Undetermined","Not Matched","Incisalia henrici"
"Texas","",NA,NA,NA,"Smilisca baudinii","https://services.itis.gov/?q=tsn:173536","Mexican Treefrog","Amphibians","Species","Exact Match","Smilisca baudinii"
"Texas","",NA,NA,NA,"Pseudacris fouquettei","https://services.itis.gov/?q=tsn:774545","Cajun chorus frog","Amphibians","Species","Exact Match","Pseudacris fouquettei "
"Oregon","",NA,NA,NA,"Haliotis rufescens","https://services.itis.gov/?q=tsn:69497","red abalone","Mollusks","Species","Exact Match","Haliotis rufescens"
"Alaska,Oregon","",NA,NA,NA,"Siliqua patula","https://services.itis.gov/?q=tsn:81008","Pacific razor","Mollusks","Species","Exact Match","Siliqua patula"
"Massachusetts,Nebraska,West Virginia","",NA,NA,NA,"Symphoricarpos albus var. albus","https://services.itis.gov/?q=tsn:530604","common snowberry","Plants","Variety","Exact Match","Symphoricarpos albus var. albus"
"California","California","Species of Concern","G00A","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=G00A","Binneya notabilis","https://services.itis.gov/?q=tsn:77087","Santa Barbara shelledslug","Mollusks","Species","Exact Match","Binneya notabilis"
"Oregon","",NA,NA,NA,"Ostrea lurida","https://services.itis.gov/?q=tsn:79883","Olympia oyster","Mollusks","Species","Exact Match","Ostrea lurida"
"California","","Endangered","Q0AU","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q0AU","Calystegia stebbinsii","https://services.itis.gov/?q=tsn:30697","Stebbins' morning-glory","Plants","Species","Exact Match","Calystegia stebbinsii"
"Oregon","",NA,NA,NA,"Vorticifex effusa diagonalis",NA,"Lined Ramshorn","Other","Undetermined","Not Matched","Vorticifex effusa diagonalis"
"Oregon","",NA,NA,NA,"Upogebia pugettensis","https://services.itis.gov/?q=tsn:98208","blue mud shrimp","Crustaceans","Species","Exact Match","Upogebia pugettensis"
"Hawaii","Hawaii","Endangered","Q31S","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q31S","Cyanea procera","https://services.itis.gov/?q=tsn:34732","haha","Plants","Species","Exact Match","Cyanea procera"
"Oregon","",NA,NA,NA,"Platichthys stellatus","https://services.itis.gov/?q=tsn:172893","starry flounder","Fish","Species","Exact Match","Platichthys stellatus"
"Texas","","Species of Concern","Q01S","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q01S","Phyllanthopsis arida","https://services.itis.gov/?q=tsn:845560","Trans-Pecos maidenbush","Plants","Species","Followed Accepted TSN","Andrachne arida"
"Oregon","",NA,NA,NA,"Antigone canadensis tabida",NA,"Greater Sandhill Crane","Other","Undetermined","Not Matched","Antigone canadensis tabida"
"Kentucky","Kentucky",NA,NA,NA,"Sorex dispar blitchi","https://services.itis.gov/?q=tsn:710042","Long-tailed Or Rock Shrew","Mammals","Subspecies","Exact Match","Sorex dispar blitchi"
"Kentucky","Kentucky",NA,NA,NA,"Moxostoma poecilurum","https://services.itis.gov/?q=tsn:163932","blacktail redhorse","Fish","Species","Exact Match","Moxostoma poecilurum"
"Kentucky","Kentucky",NA,NA,NA,"Etheostoma kantuckeense","https://services.itis.gov/?q=tsn:650193","Highland Rim darter","Fish","Species","Exact Match","Etheostoma kantuckeense"
"Kentucky","Kentucky",NA,NA,NA,"Etheostoma derivativum","https://services.itis.gov/?q=tsn:913904","Stone Darter","Fish","Species","Exact Match","Etheostoma derivativum"
"Kentucky","Kentucky",NA,NA,NA,"Noturus hildebrandi","https://services.itis.gov/?q=tsn:164017","least madtom","Fish","Species","Exact Match","Noturus hildebrandi"
"Kentucky","Kentucky","Endangered","E086","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E086","Etheostoma chienense","https://services.itis.gov/?q=tsn:201991","relict darter","Fish","Species","Exact Match","Etheostoma chienense"
"Alabama,Mississippi","Alabama,Mississippi","Under Review in the Candidate or Petition Process","K040","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=K040","Fallicambarus danielae","https://services.itis.gov/?q=tsn:97606","speckled burrowing crayfish","Crustaceans","Species","Exact Match","Fallicambarus danielae"
"Kentucky","Kentucky",NA,NA,NA,"Etheostoma rafinesquei","https://services.itis.gov/?q=tsn:168460","Kentucky darter","Fish","Species","Exact Match","Etheostoma rafinesquei"
"Kentucky","Kentucky","Under Review in the Candidate or Petition Process","E0CP","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E0CP","Etheostoma tecumsehi","https://services.itis.gov/?q=tsn:650188","Shawnee darter","Fish","Species","Exact Match","Etheostoma tecumsehi"
"Kentucky","",NA,NA,NA,"Orconectes inermis inermis","https://services.itis.gov/?q=tsn:650426","Ghost Crayfish","Crustaceans","Subspecies","Exact Match","Orconectes inermis inermis"
"Delaware","",NA,NA,NA,"Myoxocephalus octodecemspinosus","https://services.itis.gov/?q=tsn:167320","longhorn sculpin","Fish","Species","Exact Match","Myoxocephalus octodecemspinosus"
"Nebraska","",NA,NA,NA,"Boltonia asteroides var. latisquama","https://services.itis.gov/?q=tsn:526940","white doll's daisy","Plants","Variety","Exact Match","Boltonia asteroides var. latisquama"
"Delaware","",NA,NA,NA,"Helicopsyche borealis","https://services.itis.gov/?q=tsn:117020","A Caddisfly","Insects","Species","Exact Match","Helicopsyche borealis"
"Delaware","",NA,NA,NA,"Hydropsyche opthalmica","https://services.itis.gov/?q=tsn:115475","A Caddisfly","Insects","Species","Exact Match","Hydropsyche opthalmica"
"Delaware","",NA,NA,NA,"Beraea fontana","https://services.itis.gov/?q=tsn:116494","A Caddisfly","Insects","Species","Exact Match","Beraea fontana"
"Delaware","",NA,NA,NA,"Enallagma geminatum","https://services.itis.gov/?q=tsn:102113","Skimming Bluet","Insects","Species","Exact Match","Enallagma geminatum"
"North Carolina,Tennessee","Tennessee",NA,NA,NA,"Inflectarius downieanus","https://services.itis.gov/?q=tsn:567717","dwarf globelet","Mollusks","Species","Exact Match","Inflectarius downieanus"
"Delaware","",NA,NA,NA,"Celithemis elisa","https://services.itis.gov/?q=tsn:101843","Calico Pennant","Insects","Species","Exact Match","Celithemis elisa"
"Delaware","",NA,NA,NA,"Catocala innubens","https://services.itis.gov/?q=tsn:938108","The Betrothed Underwing","Insects","Species","Exact Match","Catocala innubens"
"Delaware","",NA,NA,NA,"Lintneria eremitus","https://services.itis.gov/?q=tsn:936084","Hermit Sphinx","Insects","Species","Exact Match","Lintneria eremitus"
"Delaware,Pennsylvania","",NA,NA,NA,"Catocala dejecta","https://services.itis.gov/?q=tsn:938091","Dejected Underwing","Insects","Species","Exact Match","Catocala dejecta"
"Delaware","",NA,NA,NA,"Wallengrenia otho","https://services.itis.gov/?q=tsn:706665","Southern Broken-Dash","Insects","Species","Exact Match","Wallengrenia otho"
"Louisiana","Nebraska",NA,NA,NA,"Phemeranthus rugospermus","https://services.itis.gov/?q=tsn:847601","prairie fameflower","Plants","Species","Exact Match","Phemeranthus rugospermus"
"Pennsylvania","Pennsylvania",NA,NA,NA,"Diarsia rubifera","https://services.itis.gov/?q=tsn:188756","Red Dart Moth","Insects","Species","Exact Match","Diarsia rubifera"
"Massachusetts","Vermont",NA,NA,NA,"Sanicula canadensis","https://services.itis.gov/?q=tsn:29850","Canadian blacksnakeroot","Plants","Species","Exact Match","Sanicula canadensis"
"Florida","Florida",NA,NA,NA,"Syngnathus pelagicus","https://services.itis.gov/?q=tsn:166454","sargassum pipefish","Fish","Species","Exact Match","Syngnathus pelagicus"
"West Virginia","","Resolved Taxon","Q0Z3","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q0Z3","Heuchera americana var. hispida","https://services.itis.gov/?q=tsn:528402","American alumroot","Plants","Variety","Exact Match","Heuchera americana var. hispida"
"California","California","Resolved Taxon","D03W","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=D03W","Plethodon asupak","https://services.itis.gov/?q=tsn:685566","Scott Bar Salamander","Amphibians","Species","Exact Match","Plethodon asupak"
"California","","Status Undefined","Q3IS","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q3IS","Eryngium pendletonensis","https://services.itis.gov/?q=tsn:822318","Pendleton's eryngo","Plants","Species","Fuzzy Match","Eryngium pendletonense"
"Mississippi","Mississippi",NA,NA,NA,"Etheostoma meridianum","https://services.itis.gov/?q=tsn:650163","southern sand darter","Fish","Species","Followed Accepted TSN","Ammocrypta meridiana"
"Hawaii","Hawaii","Endangered","Q38U","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q38U","Schiedea kauaiensis","https://services.itis.gov/?q=tsn:565491","Kauai schiedea","Plants","Species","Exact Match","Schiedea kauaiensis"
"Nebraska","Nebraska",NA,NA,NA,"Potamogeton diversifolius","https://services.itis.gov/?q=tsn:39026","waterthread","Plants","Species","Exact Match","Potamogeton diversifolius"
"New Jersey,Pennsylvania,West Virginia,Wisconsin","",NA,NA,NA,"Acronicta dolli","https://services.itis.gov/?q=tsn:937602","Doll's Dagger Moth","Insects","Species","Exact Match","Acronicta dolli"
"Florida","Florida,Puerto Rico",NA,NA,NA,"Diadema antillarum","https://services.itis.gov/?q=tsn:157877","long-spined sea urchin","Other Invertebrates","Species","Exact Match","Diadema antillarum"
"Texas","",NA,NA,NA,"Lirceolus cocytus","http://www.marinespecies.org/rest/AphiaRecordByAphiaID/261010","A cave obligate isopod","Crustaceans","Species","Exact Match","Lirceolus cocytus"
"Maine,Maryland,Vermont","",NA,NA,NA,"Bombus citrinus","https://services.itis.gov/?q=tsn:714794","Lemon Cuckoo Bumble Bee","Insects","Species","Exact Match","Bombus citrinus"
"Vermont","",NA,NA,NA,"Astragalus canadensis var. canadensis","https://services.itis.gov/?q=tsn:192395","Canadian milkvetch","Plants","Variety","Exact Match","Astragalus canadensis var. canadensis"
"Florida","Florida,Puerto Rico",NA,NA,NA,"Agonostomus monticola","https://services.itis.gov/?q=tsn:170355","mountain mullet","Fish","Species","Exact Match","Agonostomus monticola"
"Rhode Island","Rhode Island",NA,NA,NA,"Scopula purata","https://services.itis.gov/?q=tsn:942717","Chalky Wave Moth","Insects","Species","Exact Match","Scopula purata"
"Connecticut","",NA,NA,NA,"Andropogon gerardii","https://services.itis.gov/?q=tsn:40462","Big Bluestem","Plants","Species","Exact Match","Andropogon gerardii"
"Rhode Island","Rhode Island",NA,NA,NA,"Phyllotreta chalybeipennis","https://services.itis.gov/?q=tsn:720403","Flea Beetle","Insects","Species","Exact Match","Phyllotreta chalybeipennis"
"Arizona","Arizona","Resolved Taxon","G05A","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=G05A","Pyrgulopsis simplex","https://services.itis.gov/?q=tsn:568234","Fossil springsnail","Mollusks","Species","Exact Match","Pyrgulopsis simplex"
"New Mexico","New Mexico","Resolved Taxon","G047","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=G047","Pyrgulopsis thermalis","https://services.itis.gov/?q=tsn:568238","New Mexico hot springsnail","Mollusks","Species","Exact Match","Pyrgulopsis thermalis"
"Alaska,Arizona,Maine,New Hampshire,Oregon,Wyoming","Alaska,Arizona,Colorado,Idaho,Maine,New Hampshire,Oregon,South Dakota,Wyoming",NA,NA,NA,"Picoides dorsalis","https://services.itis.gov/?q=tsn:685725","American Three-toed Woodpecker","Birds","Species","Exact Match","Picoides dorsalis"
"Oregon","Alaska",NA,NA,NA,"Mirounga angustirostris","https://services.itis.gov/?q=tsn:180672","Northern Elephant Seal","Mammals","Species","Exact Match","Mirounga angustirostris"
"Maryland,Virginia,West Virginia","Virginia",NA,NA,NA,"Paravitrea pontis","https://services.itis.gov/?q=tsn:77225","Natural Bridge supercoil","Mollusks","Species","Exact Match","Paravitrea pontis"
"Rhode Island","Rhode Island",NA,NA,NA,"Dichotomius carolinus","https://services.itis.gov/?q=tsn:927534","Dung Beetle","Insects","Species","Exact Match","Dichotomius carolinus"
"Rhode Island","Rhode Island",NA,NA,NA,"Copris fricator","https://services.itis.gov/?q=tsn:927511","Dung Beetle","Insects","Species","Exact Match","Copris fricator"
"Massachusetts,West Virginia","",NA,NA,NA,"Carex mesochorea","https://services.itis.gov/?q=tsn:39694","midland sedge","Plants","Species","Exact Match","Carex mesochorea"
"California","","Endangered","Q1ZN","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1ZN","Oenothera deltoides ssp. howellii","https://services.itis.gov/?q=tsn:27392","Antioch Dunes evening primrose","Plants","Subspecies","Exact Match","Oenothera deltoides ssp. howellii"
"Connecticut,Iowa,Maine,Nebraska,New Jersey,Rhode Island","Connecticut,Iowa,Maine,Rhode Island",NA,NA,NA,"Erynnis brizo","https://services.itis.gov/?q=tsn:706740","Sleepy Duskywing","Insects","Species","Exact Match","Erynnis brizo"
"Texas","","Resolved Taxon","Q169","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q169","Lycium puberulum var. berberioides","https://services.itis.gov/?q=tsn:529039","downy desert-thorn","Plants","Variety","Exact Match","Lycium puberulum var. berberioides"
"Hawaii","Hawaii","Endangered","Q1Z8","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1Z8","Melicope pallida","https://services.itis.gov/?q=tsn:196044","alani","Plants","Species","Exact Match","Melicope pallida"
"Arizona,Texas","California,Texas","Species of Concern","B0ED","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0ED","Parabuteo unicinctus","https://services.itis.gov/?q=tsn:175397","Harris' Hawk","Birds","Species","Exact Match","Parabuteo unicinctus"
"New Jersey,Pennsylvania","Illinois",NA,NA,NA,"Papaipema necopina","https://services.itis.gov/?q=tsn:939786","Sunflower Borer Moth","Insects","Species","Exact Match","Papaipema necopina"
"Wisconsin","Wisconsin",NA,NA,NA,"Zealeuctra narfi","https://services.itis.gov/?q=tsn:102906","A Rolled-winged Winter Stonefly","Insects","Species","Exact Match","Zealeuctra narfi"
"Florida","Florida,West Virginia",NA,NA,NA,"Dromogomphus armatus","https://services.itis.gov/?q=tsn:101731","Southeastern Spinyleg","Insects","Species","Exact Match","Dromogomphus armatus"
"Delaware","Delaware",NA,NA,NA,"Pero ancetaria","https://services.itis.gov/?q=tsn:942537","Hübner's Pero","Insects","Species","Followed Accepted TSN","Pero ancetaria, Pero hubneraria"
"Arizona","Colorado",NA,NA,NA,"Empidonax oberholseri","https://services.itis.gov/?q=tsn:178346","Dusky Flycatcher","Birds","Species","Exact Match","Empidonax oberholseri"
"Virginia","Virginia",NA,NA,NA,"Apochthonius holsingeri","https://services.itis.gov/?q=tsn:198424","Cave pseudoscorpion","Arachnids","Species","Exact Match","Apochthonius holsingeri"
"Vermont","Vermont",NA,NA,NA,"Calliergon trifarium","https://services.itis.gov/?q=tsn:16191","A Moss","Plants","Species","Exact Match","Calliergon trifarium"
"Texas","",NA,NA,NA,"Tayshaneta bullis",NA,"A cave obligate spider","Other","Undetermined","Not Matched","Tayshaneta bullis"
"Alaska","Alaska",NA,NA,NA,"Zonotrichia atricapilla","https://services.itis.gov/?q=tsn:179461","Golden-crowned Sparrow","Birds","Species","Exact Match","Zonotrichia atricapilla"
"West Virginia","",NA,NA,NA,"Rhododendron viscosum","https://services.itis.gov/?q=tsn:23731","clammy azalea","Plants","Species","Exact Match","Rhododendron viscosum"
"Delaware","",NA,NA,NA,"Catocala obscura","https://services.itis.gov/?q=tsn:938135","Obscure Underwing","Insects","Species","Exact Match","Catocala obscura"
"Georgia,South Carolina","Georgia",NA,NA,NA,"Rhynchospora pleiantha","https://services.itis.gov/?q=tsn:504789","coastal beaksedge","Plants","Species","Exact Match","Rhynchospora pleiantha"
"Maryland,Virginia","Maryland,New Jersey,Virginia",NA,NA,NA,"Meropleon titan","https://services.itis.gov/?q=tsn:939503","A noctuid moth","Insects","Species","Exact Match","Meropleon titan"
"Vermont","Alaska,New York,Vermont",NA,NA,NA,"Valvata lewisi","https://services.itis.gov/?q=tsn:70359","fringed valvata","Mollusks","Species","Exact Match","Valvata lewisi"
"Delaware","Alaska",NA,NA,NA,"Uria lomvia","https://services.itis.gov/?q=tsn:176978","Thick-billed Murre","Birds","Species","Exact Match","Uria lomvia"
"California","California","Species of Concern","G00L","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=G00L","Helminthoglypta arrosa pomoensis","https://www.sciencebase.gov/catalog/file/get/56d720ece4b015c306f442d5?f=__disk__4f%2F17%2F79%2F4f177961623ebb82cc1084ca05f4d2d4ecbae7cd","Pomo bronze shoulderband","Other","Undetermined","Historic Match","Helminthoglypta arrosa pomoensis"
"Tennessee","",NA,NA,NA,"Pseudanophthalmus cerberus cerberus","https://services.itis.gov/?q=tsn:933140","(a cave obligate beetle)","Insects","Subspecies","Exact Match","Pseudanophthalmus cerberus cerberus"
"Hawaii","","Endangered","I0QW","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I0QW","Drosophila aglaia","https://services.itis.gov/?q=tsn:146380","Picture-wing Fly","Insects","Species","Fuzzy Match","Drosophila agalia"
"Alaska","Alaska",NA,NA,NA,"Tamiasciurus hudsonicus picatus","https://services.itis.gov/?q=tsn:930567","Red Squirrel Kupreanof","Mammals","Subspecies","Exact Match","Tamiasciurus hudsonicus picatus"
"Rhode Island","Rhode Island",NA,NA,NA,"Canthon vigilans","https://services.itis.gov/?q=tsn:927494","Tumblebug","Insects","Species","Exact Match","Canthon vigilans"
"North Carolina","",NA,NA,NA,"Succinea campestris","https://services.itis.gov/?q=tsn:76936","crinkled ambersnail","Mollusks","Species","Exact Match","Succinea campestris"
"New Jersey","",NA,NA,NA,"Colletes simulans","https://services.itis.gov/?q=tsn:654631","","Insects","Species","Exact Match","Colletes simulans"
"Arizona,Colorado,Kansas,Minnesota,Montana,Nebraska,New Mexico,North Dakota,Oklahoma,South Dakota,Wyoming","Colorado,Kansas,Minnesota,Montana,Nebraska,North Dakota,Oklahoma,South Dakota,Wyoming",NA,NA,NA,"Calcarius ornatus","https://services.itis.gov/?q=tsn:179530","Chestnut-collared Longspur","Birds","Species","Exact Match","Calcarius ornatus"
"Alaska","Alaska",NA,NA,NA,"Urocitellus parryii osgoodi","https://services.itis.gov/?q=tsn:931082","arctic ground squirrel, Osgood's","Mammals","Subspecies","Followed Accepted TSN","Urocitellus parryii osgoodi, Spermophilus parryii osgoodi"
