"statelist_2015","statelist_2005","ListingStatus","tessCode","tessURL","nsNationalStatus","nsStatusLastReviewed","scientificname","taxonomicauthorityid","commonname","taxonomicgroup","taxonomicrank","matchmethod","scientificnames_submitted"
"Florida","Florida",NA,NA,NA,"Imperiled","2009-10-05","Utterbackia peninsularis","https://services.itis.gov/?q=tsn:568434","peninsular floater","Mollusks","Species","Exact Match","Utterbackia peninsularis"
"Maryland,Pennsylvania,Virginia,West Virginia","Maryland,Pennsylvania,Virginia,West Virginia","Species of Concern","G04K","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=G04K","Imperiled","2002-10-08","Glyphyalinia raderi","https://services.itis.gov/?q=tsn:77160","Maryland glyph","Mollusks","Species","Exact Match","Glyphyalinia raderi"
"West Virginia","",NA,NA,NA,"Unranked","Unknown","Potamogeton pusillus ssp. tenuissimus","https://services.itis.gov/?q=tsn:566076","small pondweed","Plants","Subspecies","Followed Accepted TSN","Potamogeton pusillus var. tenuissimus"
"Missouri","Missouri",NA,NA,NA,"Unranked","Unknown","Carex abscondita","https://services.itis.gov/?q=tsn:39475","thicket sedge","Plants","Species","Exact Match","Carex abscondita"
"Kentucky,Missouri","Kentucky",NA,NA,NA,"Secure","2003-02-26","Chrysemys picta dorsalis","https://services.itis.gov/?q=tsn:208622","Southern Painted Turtle","Reptiles","Subspecies","Followed Accepted TSN","Chrysemys picta dorsalis, Chrysemys dorsalis"
"Virginia","Virginia",NA,NA,NA,"Vulnerable","2003-11-04","Stygobromus spinosus","https://services.itis.gov/?q=tsn:93946","Blue Ridge Mountain amphipod","Crustaceans","Species","Exact Match","Stygobromus spinosus"
"Georgia,Tennessee","Georgia,Tennessee","Resolved Taxon","E07N","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E07N","Apparently Secure","1996-09-05","Notropis asperifrons","https://services.itis.gov/?q=tsn:163426","burrhead shiner","Fish","Species","Exact Match","Notropis asperifrons"
"Virginia","Virginia",NA,NA,NA,"Unranked","Unknown","Striaria causeyae","https://services.itis.gov/?q=tsn:570317","A millipede","Other Invertebrates","Species","Exact Match","Striaria causeyae"
"South Carolina","South Carolina","Species of Concern","K029","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=K029","Apparently Secure","1999-11-03","Procambarus lepidodactylus","https://services.itis.gov/?q=tsn:650376","Pee Dee lotic crayfish","Crustaceans","Species","Exact Match","Procambarus lepidodactylus"
"Texas","",NA,NA,NA,"Vulnerable","Unknown","Chaetopappa imberbis","https://services.itis.gov/?q=tsn:501377","awnless leastdaisy","Plants","Species","Exact Match","Chaetopappa imberbis"
"Tennessee","Tennessee",NA,NA,NA,"Imperiled","1996-12-05","Notropis rupestris","https://services.itis.gov/?q=tsn:163490","bedrock shiner","Fish","Species","Exact Match","Notropis rupestris"
"Tennessee","","Endangered","E07F","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E07F","Critically Imperiled","2006-01-19","Noturus crypticus",NA,"Chucky Madtom","Other","Undetermined","Not Matched","Noturus crypticus"
"Connecticut,Maryland,Minnesota,Pennsylvania,Rhode Island,Virginia,West Virginia","Connecticut,Pennsylvania,Rhode Island,Virginia,West Virginia","Resolved Taxon","I06Q","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I06Q","Apparently Secure","1988-10-10","Gomphus adelphus","https://services.itis.gov/?q=tsn:592862","Mustached Clubtail","Insects","Species","Exact Match","Gomphus adelphus"
"Louisiana","",NA,NA,NA,"Unranked","Unknown","Panicum hallii var. filipes","https://services.itis.gov/?q=tsn:529363","Hall's Panic Grass","Plants","Variety","Exact Match","Panicum hallii var. filipes"
"Alabama,Tennessee","Alabama","Endangered","G016","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=G016","Critically Imperiled","2003-06-19","Athearnia anthonyi","http://www.marinespecies.org/rest/AphiaRecordByAphiaID/1116659","Anthony's Riversnail","Mollusks","Species","Exact Match","Athearnia anthonyi"
"Missouri","Missouri",NA,NA,NA,"Vulnerable","Unknown","Primula frenchii","https://services.itis.gov/?q=tsn:836164","French's shootingstar","Plants","Species","Followed Accepted TSN","Primula frenchii, Dodecatheon frenchii"
"Arizona,Texas","Arizona,Texas","Species of Concern","A0BD","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=A0BD","Vulnerable","1996-09-05","Eumops perotis californicus","https://services.itis.gov/?q=tsn:948314","Greater Western Mastiff Bat","Mammals","Subspecies","Exact Match","Eumops perotis californicus"
"Florida","",NA,NA,NA,NA,NA,"Bulimulidae","https://services.itis.gov/?q=tsn:77010","","Mollusks","Family","Exact Match","Bulimulidae"
"North Carolina,Tennessee,Virginia,West Virginia","Tennessee,Virginia",NA,NA,NA,"Vulnerable","2003-10-30","Vertigo parvula","https://services.itis.gov/?q=tsn:76849","smallmouth vertigo","Mollusks","Species","Exact Match","Vertigo parvula"
