"scientificname","commonname","taxonomicrank","matchmethod","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","change"
"Botaurus lentiginosus","American bittern","Species","Fuzzy Match","Botarus lentiginosus,Botaurus lentifinosus,Botaurus lentiginosos,Botaurus lentiginosus","Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin,Wyoming","Arizona,Arkansas,Colorado,Connecticut,Delaware,District of Columbia,Florida,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nevada,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Pennsylvania,South Carolina,Tennessee,Utah,Vermont,West Virginia,Wisconsin,Wyoming",41,36,5
"Botrychium campestre","Prairie Moonwort","Species","Exact Match","Botrychium campestre","Nebraska","Nebraska,Vermont",1,2,-1
"Botrychium lineare","Narrowleaf grape fern","Species","Exact Match","Botrychium lineare","","Colorado",0,1,-1
"Brachyelytrum erectum","Bearded Short-husk","Species","Exact Match","Brachyelytrum erectum","Nebraska","Nebraska",1,1,0
"Brachylagus idahoensis","Pygmy Rabbit","Species","Exact Match","Brachylagus idahoensis","California,Idaho,Montana,Nevada,Oregon,Utah,Washington,Wyoming","California,Colorado,Idaho,Nevada,Oregon,Utah,Washington,Wyoming",8,8,0
"Branchinecta potassa","Potassium-loving Fairy Shrimp","Species","Exact Match","Branchinecta potassa","","Nebraska",0,1,-1
"Brasenia schreberi","Watershield","Species","Exact Match","Brasenia schreberi","Nebraska","Nebraska",1,1,0
"Bromus marginatus","Mountain Brome","Species","Exact Match","Bromus marginatus","Nebraska","Nebraska",1,1,0
"Bromus porteri","Nodding Brome","Species","Exact Match","Bromus porteri","Nebraska","Nebraska",1,1,0
"Bromus ramosus","Coral ipomopsis","Species","Followed Accepted TSN","Ipomopsis ramosa","","Colorado",0,1,-1
"Bucephala islandica","Barrow''s goldeneye","Species","Exact Match","Bucephala islandica","California,Colorado,Maine,Oregon,Wyoming","California,Colorado,Maine,Washington,Wyoming",5,5,0
"Buteo lineatus","Red-shouldered Hawk","Species","Exact Match","Buteo lineatus","Connecticut,Delaware,District of Columbia,Illinois,Indiana,Iowa,Maryland,Michigan,Minnesota,Nebraska,New Hampshire,New Jersey,New York,Ohio,Texas,Vermont,Wisconsin","Delaware,Indiana,Iowa,Michigan,Minnesota,Nebraska,New Jersey,New York,South Carolina,Texas,Vermont,Wisconsin",17,12,5
"Buteo regalis","Ferruginous Hawk","Species","Exact Match","Buteo regalis","Arizona,California,Colorado,Idaho,Kansas,Montana,Nebraska,Nevada,New Mexico,North Dakota,Oklahoma,Oregon,South Dakota,Texas,Utah,Washington,Wyoming","Arizona,Colorado,Idaho,Kansas,Nebraska,Nevada,North Dakota,Oklahoma,Oregon,South Dakota,Texas,Utah,Washington,Wyoming",17,14,3
"Buteo swainsoni","Swainson''s Hawk","Species","Exact Match","Buteo swainsoni","Alaska,California,Colorado,Idaho,Illinois,Iowa,Kansas,Minnesota,Missouri,Nebraska,Nevada,North Dakota,Oklahoma,Oregon,Texas,Wyoming","Arizona,California,Colorado,Illinois,Iowa,Kansas,Minnesota,Missouri,Nebraska,North Dakota,Oklahoma,Oregon,Texas,Wyoming",16,14,2
"Caecidotea metcalfi","A Cave Isopod","Species","Exact Match","Caecidotea metcalfi","Kansas","Kansas",1,1,0
"Caecidotea simulator","a cave obligate isopod","Species","Exact Match","Caecidotea simulator","Arkansas,Kansas,Oklahoma","Arkansas,Kansas,Oklahoma",3,3,0
"Caecidotea steevesi","An isopod","Species","Exact Match","Caecidotea steevesi","Arkansas,Kansas","Arkansas,Kansas",2,2,0
"Caecidotea tridentata","An Isopod","Species","Exact Match","Caecidotea tridentata","Illinois,Kansas","Illinois,Kansas",2,2,0
"Calamospiza melanocorys","Lark Bunting","Species","Exact Match","Calamospiza melanocorys","Colorado,Kansas,North Dakota,South Dakota,Wyoming","Colorado,Kansas,North Dakota,South Dakota,Wyoming",5,5,0
"Calcarius ornatus","Chestnut-collared Longspur","Species","Exact Match","Calcarius ornatus","Colorado,Kansas,Minnesota,Montana,Nebraska,North Dakota,Oklahoma,South Dakota,Wyoming","Arizona,Colorado,Kansas,Minnesota,Montana,Nebraska,New Mexico,North Dakota,Oklahoma,South Dakota,Wyoming",9,11,-2
"Calcarius pictus","Smith's Longspur","Species","Exact Match","Calcarius pictus","Alaska,Arkansas,Illinois,Kansas,Louisiana,Oklahoma,Texas","Alaska,Arkansas,Illinois,Iowa,Kansas,Louisiana,Oklahoma,Texas",7,8,-1
