"scientificname","Family","Common name","acceptedauthorityapi","scientificnames_submitted","statelist_2005","statelist_2015"
"Entosphenus similis","Petromyzontidae","Klamath river lamprey","http://services.itis.gov/?q=tsn:914058","Entosphenus similis,Lampetra similis","California","California"
"Entosphenus tridentatus","Petromyzontidae","Pacific lamprey","http://services.itis.gov/?q=tsn:159699","Entosphenus tridentatus,Entosphenus tridentate,Lampetra tridentata,Lampetra tridentata ssp. 1,Lampetra tridentata ssp. 5,Lampetra tridentata ssp. 6","Alaska,California,Idaho,Oregon,Washington","Alaska,California,Idaho,Oregon,Washington"
"Erimystax insignis","Cyprinidae","blotched chub","http://services.itis.gov/?q=tsn:163823","Erimystax insignis","Georgia,Kentucky,North Carolina,Tennessee,Virginia","Georgia,Kentucky,Tennessee,Virginia"
"Erimyzon tenuis","Catostomidae","sharpfin chubsucker",NA,NA,NA,NA
"Esox americanus","Esocidae","banded pygmy sunfish","http://services.itis.gov/?q=tsn:162140","Esox americanus","Connecticut,Iowa,Michigan,Vermont","Connecticut,Iowa,New Hampshire,Vermont"
"Esox lucius","Esocidae","redfin pickerel","http://services.itis.gov/?q=tsn:162139","Esox lucius,Esox Lucius","Illinois","Alaska,Illinois,Iowa"
"Esox masquinongy","Esocidae","northern pike","http://services.itis.gov/?q=tsn:162144","Esox masquinongy","Illinois,Vermont","Illinois,New York"
"Esox niger","Esocidae","muskellunge","http://services.itis.gov/?q=tsn:162143","Esox niger","Connecticut,Oklahoma","Connecticut"
"Etheostoma asprigene","Percidae","mud darter","http://services.itis.gov/?q=tsn:168372","Etheostoma asprigene","Iowa,Minnesota,Mississippi","Iowa,Mississippi,Wisconsin"
"Etheostoma bellum","Percidae","orangefin darter","http://services.itis.gov/?q=tsn:168374","Etheostoma bellum","Tennessee","Tennessee"
"Etheostoma flabellare","Percidae","fantail darter","http://services.itis.gov/?q=tsn:168394","Etheostoma flabellare","Kansas,Michigan,Mississippi","Kansas,Mississippi"
"Etheostoma gracile","Percidae","slough darter","http://services.itis.gov/?q=tsn:168366","Etheostoma gracile","Kansas","Kansas"
"Etheostoma stigmaeum","Percidae","speckled darter","http://services.itis.gov/?q=tsn:168437","Etheostoma stigmaeum","Florida,Kansas,Virginia","Kansas,Virginia"
"Etheostoma swaini","Percidae","Gulf darter","http://services.itis.gov/?q=tsn:168439","Etheostoma swaini","Kentucky","Kentucky"
"Etheostoma thalassinum","Percidae","seagreen darter","http://services.itis.gov/?q=tsn:168442","Etheostoma thalassinum","South Carolina","North Carolina,South Carolina"
"Fundulus bifax","Fundulidae","Stippled studfish","http://services.itis.gov/?q=tsn:165671","Fundulus bifax","Georgia","Georgia"
"Fundulus dispar","Fundulidae","Starhead topminnow","http://services.itis.gov/?q=tsn:165672","Fundulus dispar","Illinois,Kentucky,Michigan,Mississippi,Missouri,Wisconsin","Illinois,Iowa,Kentucky,Michigan,Mississippi,Missouri,Wisconsin"
"Fundulus rathbuni","Fundulidae","Speckled killifish","http://services.itis.gov/?q=tsn:165665","Fundulus rathbuni","Virginia","Virginia"
"Gambusia heterochir","Poeciliidae","Clear Creek gambusia","http://services.itis.gov/?q=tsn:165887","Gambusia heterochir","Texas","Texas"
"Gasterosteus aculeatus","Gasterosteidae","threespine stickleback","http://services.itis.gov/?q=tsn:166365","Gasterosteus aculeatus,Gasterosteus aculeatus 10,Gasterosteus aculeatus 11,Gasterosteus aculeatus microcephalus,Gasterosteus aculeatus williamsoni","Alaska,California,Massachusetts,New York,Pennsylvania","California,Connecticut,Massachusetts,New York,Pennsylvania"
"Gila robusta","Cyprinidae","roundtail chub","http://services.itis.gov/?q=tsn:163558","Gila robusta","Arizona,Colorado,New Mexico,Utah,Wyoming","Arizona,Colorado,New Mexico,Utah,Wyoming"
"Hemitremia flammea","Cyprinidae","flame chub","http://services.itis.gov/?q=tsn:163563","Hemitremia flammea","Georgia,Tennessee","Georgia,Tennessee"
"Heterandria formosa","Poeciliidae","least killifish","http://services.itis.gov/?q=tsn:165915","Heterandria formosa","Mississippi,North Carolina","Mississippi,North Carolina"
"Hiodon alosoides","Hiodontidae","goldeye","http://services.itis.gov/?q=tsn:161905","Hiodon alosoides","Alabama,Arkansas,Iowa,Ohio,Pennsylvania,Texas,West Virginia,Wisconsin,Wyoming","Alabama,Arkansas,Ohio,Texas,West Virginia,Wisconsin,Wyoming"
