"statelist_2015","statelist_2005","ListingStatus","tessCode","tessURL","nsNationalStatus","nsStatusLastReviewed","scientificname","taxonomicauthorityid","commonname","taxonomicgroup","taxonomicrank","matchmethod","scientificnames_submitted"
"Delaware,Iowa,Maryland,Ohio,Pennsylvania,West Virginia,Wisconsin","Delaware,Iowa,Maryland,Ohio,West Virginia,Wisconsin","Species of Concern","I0DP","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I0DP","Secure","2004-11-03","Macromia taeniolata","https://services.itis.gov/?q=tsn:101922","Royal River Cruiser","Insects","Species","Followed Accepted TSN","Macromia taeniolata, Macromia wabashensis"
"Arkansas","Arkansas","Under Review in the Candidate or Petition Process","K043","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=K043","Critically Imperiled","1999-11-03","Fallicambarus petilicarpus","https://services.itis.gov/?q=tsn:650392","slenderwrist burrowing crayfish","Crustaceans","Species","Exact Match","Fallicambarus petilicarpus"
"West Virginia","","Species of Concern","Q2ZH","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2ZH","Apparently Secure","1997-11-13","Astragalus neglectus","https://services.itis.gov/?q=tsn:25598","Cooper's milkvetch","Plants","Species","Exact Match","Astragalus neglectus"
"Georgia","Georgia","Under Review in the Candidate or Petition Process","Q2K7","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2K7","Imperiled","Unknown","Thalictrum debile","https://services.itis.gov/?q=tsn:18668","southern meadow-rue","Plants","Species","Exact Match","Thalictrum debile"
"Texas","","Resolved Taxon","Q0UH","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q0UH","Vulnerable","Unknown","Euphorbia strictior","https://services.itis.gov/?q=tsn:28140","panhandle spurge","Plants","Species","Exact Match","Euphorbia strictior"
"Texas","","Species of Concern","Q39T","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q39T","Imperiled","2016-07-06","Thalictrum arkansanum","https://services.itis.gov/?q=tsn:18662","Arkansas meadow-rue","Plants","Species","Exact Match","Thalictrum arkansanum"
"Texas","Texas","Species of Concern","K00P","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=K00P","Imperiled","2002-08-21","Stygobromus flagellatus","https://services.itis.gov/?q=tsn:93899","Ezell's cave amphipod","Crustaceans","Species","Exact Match","Stygobromus flagellatus, Stygobromus flagellatus "
"Colorado,Connecticut,Delaware,District of Columbia,Idaho,Indiana,Maine,Maryland,Massachusetts,Minnesota,Mississippi,Nevada,New Hampshire,New Jersey,New York,Ohio,Oregon,Rhode Island,South Carolina,Vermont,Virginia,Washington,West Virginia","California,Connecticut,Delaware,Florida,Indiana,Maryland,Massachusetts,Michigan,Mississippi,Montana,Nevada,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oregon,Rhode Island,Vermont,West Virginia,Wisconsin,Wyoming","Status Undefined","A0KH","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=A0KH","Secure","1996-09-05","Lasiurus cinereus","https://services.itis.gov/?q=tsn:180017","hoary bat","Mammals","Species","Exact Match","Lasiurus cinereus"
"Texas","Texas","Resolved Taxon","J02G","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=J02G","Critically Imperiled","2002-08-21","Cicurina sprousei","https://services.itis.gov/?q=tsn:876246","no common name","Arachnids","Species","Exact Match","Cicurina sprousei, Cicurina sprousei (Gertsch)"
"Texas","","Under Review in the Candidate or Petition Process","Q3F2","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q3F2","Critically Imperiled","Unknown","Pediomelum pentaphyllum","https://services.itis.gov/?q=tsn:504184","small Indian breadroot","Plants","Species","Exact Match","Pediomelum pentaphyllum"
"North Carolina,South Carolina","Georgia,North Carolina,South Carolina","Under Review in the Candidate or Petition Process","K069","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=K069","Imperiled","1996-02-19","Cambarus chaugaensis","https://services.itis.gov/?q=tsn:97352","Chauga crayfish","Crustaceans","Species","Exact Match","Cambarus chaugaensis"
"Alabama,Georgia,South Carolina","Alabama,Georgia,South Carolina","Under Review in the Candidate or Petition Process","F04T","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F04T","Critically Imperiled","2013-08-14","Elliptio fraterna","https://services.itis.gov/?q=tsn:79960","brother spike","Mollusks","Species","Exact Match","Elliptio fraterna"
"Tennessee","Tennessee","Species of Concern","G07H","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=G07H","Critically Imperiled","2010-11-15","Somatogyrus aureus","https://services.itis.gov/?q=tsn:70551","golden pebblesnail","Mollusks","Species","Exact Match","Somatogyrus aureus"
"Maryland,Virginia","Maryland,Virginia","Under Review in the Candidate or Petition Process","K007","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=K007","Critically Imperiled","1993-06-03","Stygobromus indentatus","https://services.itis.gov/?q=tsn:93907","Tidewater stygonectid amphipod","Crustaceans","Species","Exact Match","Stygobromus indentatus"
"North Carolina","North Carolina","Resolved Taxon","F024","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F024","Vulnerable","1998-11-07","Elliptio marsupiobesa","https://services.itis.gov/?q=tsn:79965","Cape Fear spike","Mollusks","Species","Exact Match","Elliptio marsupiobesa"
"North Carolina","North Carolina","Endangered","F015","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F015","Critically Imperiled","1998-10-25","Elliptio steinstansana","https://services.itis.gov/?q=tsn:79984","Tar River spinymussel","Mollusks","Species","Exact Match","Elliptio steinstansana"
"North Carolina,South Carolina","North Carolina,South Carolina","Resolved Taxon","E05T","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E05T","Vulnerable","1996-12-05","Etheostoma mariae","https://services.itis.gov/?q=tsn:168409","pinewoods darter","Fish","Species","Exact Match","Etheostoma mariae"
"North Carolina,South Carolina","North Carolina,South Carolina","Species of Concern","F023","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F023","Imperiled","2007-06-08","Elliptio waccamawensis","https://services.itis.gov/?q=tsn:79970","Waccamaw spike","Mollusks","Species","Exact Match","Elliptio waccamawensis"
"North Carolina","North Carolina","Resolved Taxon","E01D","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E01D","Critically Imperiled","1996-12-05","Etheostoma perlongum","https://services.itis.gov/?q=tsn:168422","Waccamaw darter","Fish","Species","Exact Match","Etheostoma perlongum"
"Florida","Florida","Under Review in the Candidate or Petition Process","K077","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=K077","Critically Imperiled","2007-08-08","Procambarus attiguus","https://services.itis.gov/?q=tsn:203638","Silver Glen Springs crayfish","Crustaceans","Species","Exact Match","Procambarus attiguus"
"Alabama,Florida,New Jersey,North Carolina,South Carolina","Alabama,Florida,New Jersey,North Carolina,South Carolina","Original Data in Error - Erroneous Data","D00N","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=D00N","Apparently Secure","1996-11-05","Hyla andersonii","https://services.itis.gov/?q=tsn:173509","Pine Barrens Treefrog","Amphibians","Species","Exact Match","Hyla andersonii , Hyla andersonii"
"North Carolina","","Species of Concern","I09Q","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I09Q","Imperiled","2003-12-11","Homoeoneuria cahabensis","https://services.itis.gov/?q=tsn:609655","Cahaba Sand-filtering Mayfly","Insects","Species","Exact Match","Homoeoneuria cahabensis"
