"scientificname","commonname","matchmethod","scientificnames_submitted","statelist_2005","statelist_2015","listingStatus","kingdom","phylum","class"
"Aphelocoma californica","Western Scrub-Jay","Exact Match","Aphelocoma californica","Wyoming","Arizona,Wyoming",NA,"Animalia","Chordata","Aves"
"Apobaetis etowah","Small Minnow Mayfly","Exact Match","Apobaetis etowah","Georgia","Colorado",NA,"Animalia","Arthropoda","Insecta"
"Apobaetis lakota","A Mayfly","Exact Match","Apobaetis lakota","","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Aquila chrysaetos","Golden Eagle","Exact Match","Aquila chrysaetos,Aquila chrysaetos [B,W]","Alaska,California,Colorado,Kansas,Maine,Maryland,Montana,Nebraska,New Hampshire,New Mexico,New York,North Dakota,Pennsylvania,Tennessee,Texas,Washington","Alabama,Arizona,Colorado,Delaware,Idaho,Kansas,Maine,Maryland,Mississippi,Nebraska,Nevada,New Hampshire,New Jersey,New York,North Dakota,Oklahoma,Pennsylvania,Tennessee,Texas,Utah,Virginia,Washington,West Virginia","Species of Concern",NA,NA,NA
"Aralia racemosa","Spikenard","Exact Match","Aralia racemosa","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Archilochus colubris","Ruby-throated Hummingbird","Exact Match","Archilochus colubris","Connecticut,Nebraska,Ohio","Nebraska",NA,"Animalia","Chordata","Aves"
"Arcidens confragosus","Rock Pocketbook","Exact Match","Arcidens confragosus","Arkansas,Illinois,Iowa,Kansas,Minnesota,Mississippi,Missouri,South Dakota,Texas,Wisconsin","Iowa,Kansas,Minnesota,Mississippi,South Dakota,Wisconsin",NA,"Animalia","Mollusca","Bivalvia"
"Arctostaphylos uva-ursi","Kinniinnick","Exact Match","Arctostaphylos uva-ursi","Nebraska","Nebraska,West Virginia",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Argia alberta","Paiute dancer","Exact Match","Argia alberta","Colorado,Iowa","Colorado,Iowa,Missouri",NA,"Animalia","Arthropoda","Insecta"
"Argyrochosma dealbata","Powdery Cloak Fern","Exact Match","Argyrochosma dealbata","","Nebraska",NA,"Plantae","Tracheophyta","Polypodiopsida"
"Arisaema dracontium","Green Dragon","Exact Match","Arisaema dracontium","Nebraska,Vermont","Massachusetts,Nebraska,Vermont",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Aristida desmantha","Curly Three-awn","Exact Match","Aristida desmantha","Missouri","Missouri,Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Aristida purpurascens var. purpurascens","Arrowfeather Three-awn","Exact Match","Aristida purpurascens var. purpurascens","","Nebraska,West Virginia",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Arizona elegans","Glossy Snake","Exact Match","Arizona elegans","Kansas,Nebraska,Utah","Kansas,Nebraska",NA,"Animalia","Chordata","Reptilia"
"Arnoglossum atriplicifolium","Pale Indian-Plantsain","Exact Match","Arnoglossum atriplicifolium","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Artemisia carruthii","Carruth's Sagewort","Exact Match","Artemisia carruthii","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Artemisiospiza belli","Sage Sparrow","Fuzzy Match","Amphispiza belli","Colorado,Montana,Nevada,New Mexico,Oregon,Utah,Washington,Wyoming","Arizona,Colorado,Nevada,Wyoming","Species of Concern","Animalia","Chordata","Aves"
"Asclepias amplexicaulis","Clasping-Leaf Milkweed","Exact Match","Asclepias amplexicaulis","Nebraska,Vermont","Connecticut,Nebraska,Vermont",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Asclepias asperula ssp. capricornu","Antelope-Horns","Fuzzy Match","Asclepias asperula var. decumbens","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Asclepias latifolia","Broad-leaf Milkweed","Exact Match","Asclepias latifolia","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Asclepias purpurascens","Purple Milkweed","Exact Match","Asclepias purpurascens","Georgia,Nebraska","Connecticut,Georgia,Louisiana,Massachusetts,Nebraska,Tennessee",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Asclepias uncialis","Dwarf milkweed","Fuzzy Match","Asclepias uncialis ssp. uncialis","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Asio flammeus","Short-eared Owl","Exact Match","Asio flammeus","Alabama,Alaska,Arkansas,California,Colorado,Connecticut,Delaware,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Jersey,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,Tennessee,Texas,Utah,Vermont,West Virginia,Wisconsin,Wyoming","Alabama,California,Colorado,Connecticut,Delaware,Florida,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Jersey,New York,North Dakota,Ohio,Oklahoma,Pennsylvania,Rhode Island,Tennessee,Texas,Vermont,Washington,West Virginia,Wisconsin,Wyoming","Species of Concern","Animalia","Chordata","Aves"
"Asplenium platyneuron","Ebony Spleenwort","Exact Match","Asplenium platyneuron","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Polypodiopsida"
"Asterocampa clyton","Tawny Emperor","Exact Match","Asterocampa clyton","Pennsylvania,Vermont","Delaware,Nebraska,Vermont",NA,"Animalia","Arthropoda","Insecta"
"Astragalus agrestis","Field Milkvetch","Exact Match","Astragalus agrestis","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Astragalus anisus","Gunnison milkvetch","Exact Match","Astragalus anisus","","Colorado","Species of Concern","Plantae","Tracheophyta","Magnoliopsida"
"Astragalus barrii","Barr's Milkvetch","Exact Match","Astragalus barrii","Nebraska","Nebraska","Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida"
"Astragalus bodinii","Bodin's Milk-vetch","Exact Match","Astragalus bodinii","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Astragalus cronquistii","Cronquist milkvetch","Exact Match","Astragalus cronquistii","","Colorado","Species of Concern","Plantae","Tracheophyta","Magnoliopsida"
"Astragalus debequaeus","DeBeque milkvetch","Exact Match","Astragalus debequaeus","","Colorado","Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida"
"Astragalus deterior","Cliff-palace milkvetch","Exact Match","Astragalus deterior","","Colorado","Species of Concern","Plantae","Tracheophyta","Magnoliopsida"
"Astragalus equisolensis","Horseshoe milkvetch","Exact Match","Astragalus equisolensis","","Colorado","Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida"
"Astragalus humillimus","Mancos milkvetch","Exact Match","Astragalus humillimus","","Colorado","Endangered","Plantae","Tracheophyta","Magnoliopsida"
"Astragalus hyalinus","Summer Orophaca","Exact Match","Astragalus hyalinus","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Astragalus iodopetalus","Violet milkvetch","Exact Match","Astragalus iodopetalus","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Astragalus microcymbus","Skiff milkvetch","Exact Match","Astragalus microcymbus","","Colorado","Candidate","Plantae","Tracheophyta","Magnoliopsida"
"Astragalus missouriensis var. humistratus","Missouri milkvetch","Exact Match","Astragalus missouriensis var. humistratus","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Astragalus naturitensis","Naturita milkvetch","Exact Match","Astragalus naturitensis","","Colorado","Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida"
"Astragalus osterhoutii","Kremmling milkvetch","Exact Match","Astragalus osterhoutii","","Colorado","Endangered","Plantae","Tracheophyta","Magnoliopsida"
"Astragalus pectinatus","Tine-leaf Milk-vetch","Exact Match","Astragalus pectinatus","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Astragalus piscator","Fisher Towers milkvetch","Exact Match","Astragalus piscator","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Astragalus rafaelensis","San Rafael milkvetch","Exact Match","Astragalus rafaelensis","","Colorado","Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida"
"Astragalus schmolliae","Schmoll milkvetch","Exact Match","Astragalus schmolliae","","Colorado","Candidate","Plantae","Tracheophyta","Magnoliopsida"
"Astragalus shortianus","Short's Milkvetch","Exact Match","Astragalus shortianus,Astragalus shortianus 1,Astragalus shortianus 2","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Astragalus sparsiflorus","Front Range milkvetch","Exact Match","Astragalus sparsiflorus","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Astragalus tortipes","Sleeping Ute milkvetch","Exact Match","Astragalus tortipes","","Colorado","Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida"
"Athene cunicularia","Burrowing Owl","Fuzzy Match","Athene cunicularia,Speotyto cunicularia","California,Idaho,Iowa,Kansas,Minnesota,Montana,Nebraska,New Mexico,North Dakota,Oklahoma,South Dakota,Texas,Utah,Washington,Wyoming","California,Colorado,Florida,Idaho,Iowa,Kansas,Minnesota,Nebraska,New Mexico,North Dakota,Oklahoma,South Dakota,Texas,Utah,Washington,Wyoming","Species of Concern","Animalia","Chordata","Aves"
"Athyrium filix-femina var. cyclosorum","Northwestern Lady Fern","Exact Match","Athyrium filix-femina var. cyclosorum","","Nebraska",NA,"Plantae","Tracheophyta","Polypodiopsida"
"Atriplex gardneri var. gardneri","Gardner's Saltbush","Exact Match","Atriplex gardneri var. gardneri","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Atriplex powellii var. powellii","Powell's Saltbush","Exact Match","Atriplex powellii var. powellii","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Atrytone arogos","Arogos Skipper","Exact Match","Atrytone arogos","Colorado,Illinois,Iowa,Kansas,Louisiana,Minnesota,Nebraska","Colorado,Iowa,Kansas,Louisiana,Nebraska,South Carolina",NA,"Animalia","Arthropoda","Insecta"
"Atrytone arogos iowa","Iowa Skipper","Exact Match","Atrytone arogos iowa","Nebraska,Oklahoma,South Dakota","Arkansas,Minnesota,Nebraska,Oklahoma,South Dakota",NA,"Animalia","Arthropoda","Insecta"
"Atrytonopsis hianna","Dusted Skipper","Fuzzy Match","Atryonopsis hianna,Atrytonopsis hianna","Delaware,Illinois,Indiana,Iowa,Louisiana,Michigan,Pennsylvania,Rhode Island,Vermont,West Virginia","Delaware,Iowa,Louisiana,Maine,Maryland,Michigan,Minnesota,Nebraska,New Jersey,Ohio,Pennsylvania,Rhode Island,Vermont,West Virginia,Wisconsin",NA,"Animalia","Arthropoda","Insecta"
"Aythya affinis","Lesser Scaup1","Fuzzy Match","Athya affinis,Aythya affinis","Colorado,Connecticut,Delaware,Florida,Hawaii,Idaho,Illinois,Kentucky,Louisiana,Minnesota,Mississippi,Nebraska,New Jersey,New York,Oklahoma,South Carolina,Texas,Virgin Islands,Washington,Wisconsin,Wyoming","Alaska,Delaware,Florida,Hawaii,Illinois,Iowa,Kentucky,Louisiana,Minnesota,Mississippi,Nebraska,New Jersey,New York,North Dakota,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Wyoming","Species of Concern","Animalia","Chordata","Aves"
"Aythya americana","Redhead","Exact Match","Aythya americana,Aythya Americana","Delaware,Iowa,Louisiana,Nevada,North Dakota,Ohio,South Carolina,Texas,Virginia,Washington,Wisconsin,Wyoming","California,Delaware,Iowa,Louisiana,Maryland,Nevada,South Carolina,Wyoming",NA,"Animalia","Chordata","Aves"
"Aythya valisineria","Canvasback","Exact Match","Aythya valiseneria,Aythya valisineria","Arizona,California,Connecticut,Delaware,Illinois,Iowa,Kansas,Louisiana,Maryland,Nebraska,Nevada,New Jersey,North Dakota,Oklahoma,South Carolina,Texas,Wisconsin,Wyoming","Delaware,Illinois,Iowa,Kansas,Louisiana,Maryland,Nebraska,Nevada,New Jersey,North Carolina,North Dakota,Oklahoma,Rhode Island,South Carolina,Wyoming",NA,"Animalia","Chordata","Aves"
"Baeolophus bicolor","Tufted Titmouse","Fuzzy Match","Baeolophus bicolor,Parus bicolor","Nebraska,Ohio","Nebraska",NA,"Animalia","Chordata","Aves"
"Baeolophus ridgwayi","Juniper Titmouse","Exact Match","Baeolophus ridgwayi","Colorado,Idaho,New Mexico,Oklahoma,Oregon,Wyoming","Arizona,Colorado,New Mexico,Oklahoma,Oregon,Wyoming",NA,"Animalia","Chordata","Aves"
"Baetis brunneicolor","Small Minnow Mayfly","Exact Match","Baetis brunneicolor","","Colorado",NA,"Animalia","Arthropoda","Insecta"
"Bartramia longicauda","Upland Sandpiper","Exact Match","Bartramia langicauda,Bartramia longicauda,Bartramia  longicauda,Batramia longicauda","Alaska,Arkansas,Colorado,Connecticut,Delaware,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Maine,Maryland,Massachusetts,Michigan,Minnesota,New Hampshire,New Jersey,New York,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming","Alaska,Colorado,Connecticut,Delaware,Florida,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Missouri,New Hampshire,New Jersey,New York,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,South Carolina,Tennessee,Vermont,Washington,West Virginia,Wisconsin,Wyoming","Species of Concern","Animalia","Chordata","Aves"
"Bergia texana","Texas Bergia","Exact Match","Bergia texana","Missouri,Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Betula occidentalis","Mountain Birch","Exact Match","Betula occidentalis","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Bidens connata","Sandberg's Beggar-ticks","Fuzzy Match","Bidens connata var. pinnata","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
