"scientificname","commonname","matchmethod","scientificnames_submitted","statelist_2005","statelist_2015","listingStatus","kingdom","phylum","class"
"Carex vesicaria","Inflated Sedge","Exact Match","Carex vesicaria,Carex vesicaria var. monile","Missouri,Nebraska","Nebraska,West Virginia",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Carex xerantica","White-Scale Sedge","Exact Match","Carex xerantica","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Carphophis vermis","Western Worm Snake","Exact Match","Carphophis vermis","Louisiana","Iowa,Louisiana,Nebraska,Wisconsin",NA,"Animalia","Chordata","Reptilia"
"Carpiodes cyprinus","Quillback","Exact Match","Carpiodes cyprinus","Kansas,North Carolina,South Carolina,Vermont,Wyoming","Kansas,North Carolina,South Carolina",NA,"Animalia","Chordata","Teleostei"
"Carpiodes velifer","Highfin Carpsucker","Exact Match","Carpiodes velifer,Carpoides velifer","Illinois,Kansas,Missouri,North Carolina,Pennsylvania,South Carolina,Tennessee,West Virginia","Arkansas,Georgia,Kansas,Missouri,South Carolina,Tennessee,West Virginia",NA,"Animalia","Chordata","Teleostei"
"Castilleja puberula","Downy Indian-paintbrush","Exact Match","Castilleja puberula","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Catharus fuscescens","Veery","Exact Match","Catharus fuscecens,Catharus fuscescens","Colorado,Connecticut,Delaware,Iowa,Maine,Maryland,Minnesota,Montana,New Jersey,Ohio,Vermont,Wisconsin","Colorado,Connecticut,Delaware,District of Columbia,Iowa,Maine,Maryland,Minnesota,New Hampshire,New Jersey,North Carolina,Ohio,Rhode Island,West Virginia",NA,"Animalia","Chordata","Aves"
"Catinella gelida","frigid ambersnail","Legacy Match","Catinella gelida","Iowa,South Dakota,Wisconsin","Michigan,South Dakota","Under Review in the Candidate or Petition Process",NA,NA,NA
"Catocala delilah","Delilah Underwing","Exact Match","Catocala delilah","","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Catocala habilis","Habilis Underwing","Exact Match","Catocala habilis","","Delaware,Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Catocala luctuosa","Yellow-grey Underwing","Exact Match","Catocala luctuosa","","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Catocala nuptialis","Married Underwing","Exact Match","Catocala nuptialis","","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Catocala residua","Residua Underwing","Exact Match","Catocala residua","Delaware","Delaware,Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Catocala robinsonii","Robinson's underwing","Fuzzy Match","Catocala robinsoni,Catocala robinsonii","Michigan","Nebraska,Pennsylvania",NA,"Animalia","Arthropoda","Insecta"
"Catocala serena","Serene Underwing","Exact Match","Catocala serena","","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Catocala vidua","Widow Underwing","Exact Match","Catocala vidua","","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Catocala whitneyi","Whitney's Underwing","Exact Match","Catocala whitneyi","Illinois,Kansas,Wisconsin","Illinois,Kansas,Minnesota,Nebraska,Wisconsin",NA,"Animalia","Arthropoda","Insecta"
"Catostomus catostomus","Longnose Sucker","Exact Match","Catostomus catostomus,Catostomus  catostomus","Alaska,Connecticut,Illinois,Indiana,Maine,Maryland,Massachusetts,Ohio,Pennsylvania,South Dakota","Connecticut,Illinois,Indiana,Maine,Maryland,Massachusetts,Minnesota,New York,Ohio,Pennsylvania,South Dakota,West Virginia","Status Undefined","Animalia","Chordata","Teleostei"
"Catostomus commersonii","White Sucker","Exact Match","Catostomus commersoni,Catostomus commersonii","Connecticut,Kansas,Massachusetts","Connecticut,Kansas,Massachusetts",NA,"Animalia","Chordata","Teleostei"
"Catostomus discobolus","Bluehead Sucker","Exact Match","Catostomus discobolus,Catostomus discobolus yarrowi","Arizona,Colorado,Idaho,New Mexico,Utah,Wyoming","Arizona,Colorado,New Mexico,Utah,Wyoming","Endangered","Animalia","Chordata","Teleostei"
"Catostomus latipinnis","Flannelmouth Sucker","Exact Match","Catostomus latipinnis","Arizona,California,Colorado,Nevada,Utah,Wyoming","Arizona,Colorado,Nevada,Utah,Wyoming","Species of Concern","Animalia","Chordata","Teleostei"
"Catostomus platyrhynchus","Mountain sucker","Exact Match","Catostomus platyrhynchus,Catostomus playtrhynchus","California,Colorado,Nebraska,South Dakota,Washington,Wyoming","California,Colorado,South Dakota,Washington",NA,"Animalia","Chordata","Teleostei"
"Catostomus plebeius","Rio Grande Sucker","Exact Match","Catostomus plebeius","Colorado,New Mexico","Colorado,New Mexico",NA,"Animalia","Chordata","Teleostei"
"Caulophyllum thalictroides","Blue Cohosh","Exact Match","Caulophyllum thalictroides","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Celastrina humulus","Hops feeding azure","Exact Match","Celastrina humulus","Colorado","Colorado",NA,"Animalia","Arthropoda","Insecta"
"Centrocercus minimus","Gunnison sage-grouse","Exact Match","Centrocercus minimus","Colorado,Utah","Colorado,Utah","Threatened","Animalia","Chordata","Aves"
"Centrocercus urophasianus","Greater Sage-Grouse","Exact Match","Centrocercus urophasianus","California,Colorado,Idaho,Montana,Nebraska,Nevada,North Dakota,Oregon,South Dakota,Utah,Washington,Wyoming","California,Colorado,Idaho,Montana,Nevada,North Dakota,Oregon,South Dakota,Utah,Washington,Wyoming","Resolved Taxon","Animalia","Chordata","Aves"
"Cephalanthus occidentalis","Buttonbush","Exact Match","Cephalanthus occidentalis","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Cerastium nutans var. nutans","Nodding Mouse-ear Chickweed","Exact Match","Cerastium nutans var. nutans","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Cercobrachys fox","A Mayfly","Exact Match","Cercobrachys fox","","Nebraska,Wisconsin",NA,"Animalia","Arthropoda","Insecta"
"Cercyonis meadii","Mead's Wood-Nymph","Exact Match","Cercyonis meadii","Nebraska","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Cercyonis oetus","Small Wood Nymph","Exact Match","Cercyonis oetus","Nebraska","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Certhia americana","Brown Creeper","Exact Match","Certhia americana","Alaska,Connecticut,Delaware,District of Columbia,Illinois,Iowa,Kentucky,Maryland,Missouri,Montana,Nebraska,North Carolina,Ohio,Rhode Island,Tennessee,Virginia,West Virginia","Connecticut,Delaware,District of Columbia,Kentucky,Maryland,Nebraska,Pennsylvania,Tennessee",NA,"Animalia","Chordata","Aves"
"Chaerophyllum tainturieri var. tainturieri","Southern Chervil","Exact Match","Chaerophyllum tainturieri var. tainturieri","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Chaetodipus hispidus","Hispid Pocket Mouse","Exact Match","Chaetodipus hispidus","Arizona,Louisiana,Montana,North Dakota,Wyoming","Louisiana,North Dakota,Wyoming",NA,"Animalia","Chordata","Mammalia"
"Chaetopappa ericoides","Rose Heath Daisy","Exact Match","Chaetopappa ericoides","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Chamerion angustifolium ssp. circumvagum","Fireweed","Exact Match","Chamerion angustifolium ssp. circumvagum,Chamerion angustifolium var. canescens","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Charadrius alexandrinus","Snowy Plover","Exact Match","Charadrius alexandrines,Charadrius alexandrinus","Alabama,Kansas,Louisiana,New Mexico,Oklahoma,Puerto Rico,Tennessee,Texas,Utah,Virgin Islands","Nebraska,Oklahoma,Tennessee,Texas",NA,"Animalia","Chordata","Aves"
"Charadrius melodus","Piping Plover","Exact Match","Charadrius melodius,Charadrius melodus,Charadrius melodus [A]","Alabama,Arkansas,Colorado,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Montana,Nebraska,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Oklahoma,Pennsylvania,Puerto Rico,Rhode Island,South Dakota,Texas,Virginia,Wisconsin","Alabama,Arkansas,Colorado,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Montana,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Oklahoma,Pennsylvania,Rhode Island,South Carolina,South Dakota,Texas,Virginia,Wisconsin","Threatened","Animalia","Chordata","Aves"
"Charadrius melodus circumcinctus","Piping Plover","Exact Match","Charadrius melodus circumcinctus","","North Dakota",NA,"Animalia","Chordata","Aves"
"Charadrius montanus","Mountain Plover","Exact Match","Charadrius montanus","Arizona,California,Colorado,Kansas,Montana,Nebraska,New Mexico,Oklahoma,Texas,Utah,Wyoming","Arizona,California,Colorado,Kansas,Montana,Nebraska,New Mexico,Oklahoma,Texas,Wyoming","Resolved Taxon","Animalia","Chordata","Aves"
"Charadrius nivosus","snowy plover (coastal population)","Exact Match","Charadrius nivosus,Charadrius nivosus 15,Charadrius nivosus 16","","Alabama,California,Florida,Kansas,Louisiana,Mississippi,New Mexico,Utah,Washington",NA,NA,NA,NA
"Charadrius nivosus nivosus","Western Snowy Plover","Exact Match","Charadrius alexandrinus nivosus,Charadrius alexandrinus tenuirostris,Charadrius nivosus nivosus","Arizona,California,Colorado,Florida,Mississippi,Nevada,Oregon,Washington","Arizona,Colorado,Nevada,Oregon","Threatened","Animalia","Chordata","Aves"
"Charina bottae","Rubber Boa","Exact Match","Charina bottae","Utah,Wyoming","Nevada,Wyoming",NA,"Animalia","Chordata","Reptilia"
"Cheilanthes feei","Slender Lip Fern","Exact Match","Cheilanthes feei","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Polypodiopsida"
"Chelydra serpentina","Common Snapping Turtle","Exact Match","Chelydra serpentina,Chelydra serpentina serpentina,Cheylydra serpentina","Minnesota,Montana,New York,North Dakota,Ohio,South Carolina","Iowa,New York,North Dakota,South Carolina,Texas,Virginia",NA,"Animalia","Chordata","Reptilia"
"Chenopodium cycloides","Sandhill Goosefoot","Exact Match","Chenopodium cycloides","Nebraska","Nebraska","Species of Concern","Plantae","Tracheophyta","Magnoliopsida"
"Chenopodium pallescens","Pale Goosefoot","Exact Match","Chenopodium pallescens","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Chlidonias niger","Black Tern","Exact Match","Childonias niger,Chlidonias niger,Chlidonias niger (surinamensis)","California,Delaware,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Maine,Maryland,Michigan,Minnesota,Missouri,Montana,Nebraska,Nevada,New Jersey,New York,North Dakota,Ohio,Pennsylvania,South Dakota,Vermont,Wisconsin,Wyoming","California,Colorado,Delaware,Florida,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Maine,Michigan,Minnesota,Nebraska,Nevada,New Jersey,New York,North Dakota,Ohio,Pennsylvania,South Dakota,Texas,Vermont,Wisconsin,Wyoming","Species of Concern","Animalia","Chordata","Aves"
"Chlosyne acastus","Acastus Checkerspot","Exact Match","Chlosyne acastus","Nebraska","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Chlosyne nycteis","Silvery Checkerspot","Exact Match","Chlosyne nycteis","Connecticut,Pennsylvania","Connecticut,Florida,Nebraska,New Jersey,Pennsylvania",NA,"Animalia","Arthropoda","Insecta"
"Chondestes grammacus","Lark Sparrow","Exact Match","Chondestes grammacus","Arkansas,California,Iowa,Kansas,Kentucky,North Carolina,Ohio,Tennessee,Texas,West Virginia,Wisconsin","Kansas,Kentucky,Louisiana,Minnesota,Ohio,Texas,Wisconsin",NA,"Animalia","Chordata","Aves"
"Chordeiles minor","Common Nighthawk","Exact Match","Chordeiles minor","Connecticut,Delaware,Illinois,Indiana,Iowa,Kansas,Maine,Maryland,Michigan,Minnesota,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oregon,Rhode Island,Texas,Vermont,West Virginia","Arizona,Arkansas,Connecticut,Delaware,District of Columbia,Florida,Idaho,Illinois,Indiana,Iowa,Kansas,Maine,Maryland,Massachusetts,Michigan,Minnesota,Nevada,New Hampshire,New Jersey,New Mexico,New York,Oregon,Pennsylvania,Tennessee,Vermont,West Virginia,Wisconsin",NA,"Animalia","Chordata","Aves"
"Chrosomus eos","Northern Redbelly Dace","Exact Match","Chrosomus eos,Phoxinus eos","Colorado,Massachusetts,Nebraska,New Hampshire,North Dakota,South Dakota","Colorado,Massachusetts,Nebraska,New Hampshire,North Dakota,Pennsylvania,South Dakota",NA,"Animalia","Chordata","Teleostei"
"Chrosomus erythrogaster","Southern Redbelly Dace","Fuzzy Match","Chrosomus erythrogaster,Phoxinus erythrogaster","Colorado,Illinois,Iowa,Kansas,Michigan,Mississippi,New Mexico,Pennsylvania,South Dakota,West Virginia","Colorado,Iowa,Kansas,Michigan,Mississippi,New Mexico,Ohio,Pennsylvania,South Dakota,West Virginia",NA,"Animalia","Chordata","Teleostei"
"Chrosomus neogaeus","Finescale Dace","Fuzzy Match","Chrosomus neogaeus,Phoxinus neogaeus","Michigan,Nebraska,New Hampshire,North Dakota,South Dakota,Wyoming","Nebraska,New Hampshire,North Dakota,South Dakota,Wyoming",NA,"Animalia","Chordata","Teleostei"
"Chrysemys picta bellii","western painted turtle","Fuzzy Match","Chrysemys picta belli,Chrysemys picta bellii","Arizona,New Mexico,Oregon,Wyoming","Oregon,Wyoming",NA,"Animalia","Chordata","Reptilia"
"Chylismia eastwoodiae","Eastwood evening primrose","Fuzzy Match","Camissonia eastwoodiae","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Cicindela decemnotata","Badlands Tiger Beetle","Exact Match","Cicindela decemnotata","","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Cicindela limbata nympha","northern sandy tiger beetle","Exact Match","Cicindela limbata nympha","Minnesota","Minnesota,South Dakota",NA,"Animalia","Arthropoda","Insecta"
"Cicindela nebraskana","Prairie Long-lipped Tiger Beetle","Exact Match","Cicindela nebraskana","Nebraska","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Cicindela pulchra","Beautiful Tiger Beetle","Exact Match","Cicindela pulchra","Nebraska","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Cicindela theatina","San Luis Dunes tiger beetle","Exact Match","Cicindela theatina","Colorado","Colorado","Under Review in the Candidate or Petition Process","Animalia","Arthropoda","Insecta"
"Cicuta maculata var. bolanderi","Spotted Water-hemlock","Exact Match","Cicuta maculata var. bolanderi","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Cinclus mexicanus","American Dipper","Exact Match","Cinclus mexicanus","Alaska,Arizona,Colorado,South Dakota","Arizona,South Dakota",NA,"Animalia","Chordata","Aves"
"Circus cyaneus","Northern Harrier","Exact Match","Circus cyaneus","Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Illinois,Indiana,Iowa,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Minnesota,Missouri,Nebraska,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Pennsylvania,Rhode Island,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin","Alaska,California,Colorado,Connecticut,Delaware,Illinois,Indiana,Iowa,Kentucky,Maine,Maryland,Massachusetts,Michigan,Minnesota,Missouri,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Pennsylvania,Rhode Island,Tennessee,Texas,Vermont,Virginia,West Virginia",NA,"Animalia","Chordata","Aves"
"Cirsium discolor","Field Thistle","Exact Match","Cirsium discolor","Vermont","Nebraska,Vermont",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Cirsium perplexans","Adobe thistle","Exact Match","Cirsium perplexans","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Cistothorus platensis","Sedge wren","Fuzzy Match","Cistothorus plantensis,Cistothorus platensis,Cistothorus  platensis","Arkansas,Connecticut,Delaware,Illinois,Indiana,Iowa,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Montana,Nebraska,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Pennsylvania,Tennessee,Texas,Vermont,Virginia,West Virginia","Arkansas,Connecticut,Delaware,Florida,Indiana,Iowa,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Nebraska,New Hampshire,New Jersey,New York,Ohio,Pennsylvania,South Carolina,Tennessee,Texas,Vermont",NA,"Animalia","Chordata","Aves"
"Claytonia virginica","Narrow-leaved Spring-beauty","Exact Match","Claytonia virginica","Nebraska,Vermont","Massachusetts,Nebraska,Vermont",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Clematis fremontii","Fremont's Leatherflower","Exact Match","Clematis fremontii","Georgia,Missouri,Nebraska","Georgia,Missouri,Nebraska,Tennessee",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Clematis hirsutissima var. scottii","Sugarbowls","Exact Match","Clematis hirsutissima var. scottii","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Clematis pitcheri var. pitcheri","Pitcher's Leather-flower","Exact Match","Clematis pitcheri var. pitcheri","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Coccinella novemnotata","Nine-spotted Ladybird Beetle","Exact Match","Coccinella novemnotata","Rhode Island","Connecticut,Florida,Nebraska,New York,Rhode Island",NA,"Animalia","Arthropoda","Insecta"
"Coccyzus americanus","Yellow-billed Cuckoo","Exact Match","Coccyzus americanus,Coccyzus americanus occidentalis","Arizona,Arkansas,California,Colorado,Connecticut,Idaho,Illinois,Iowa,Louisiana,Michigan,Montana,Nebraska,Nevada,New Jersey,New Mexico,North Carolina,Ohio,Rhode Island,Tennessee,Texas,Utah,Virginia,Virgin Islands,Washington,Wisconsin,Wyoming","Arizona,Arkansas,California,Colorado,Connecticut,District of Columbia,Idaho,Illinois,Iowa,Maine,Minnesota,Missouri,Nevada,New Jersey,New Mexico,Ohio,Rhode Island,South Carolina,Texas,Utah,Virginia,Washington,Wyoming","Threatened","Animalia","Chordata","Aves"
"Coccyzus erythropthalmus","Black-billed Cuckoo","Exact Match","Coccyzus erythropthalmus,Coccyzus erythrothalmus","Connecticut,Delaware,Illinois,Iowa,Kansas,Maine,Maryland,Michigan,Minnesota,Montana,Nebraska,New Jersey,New York,North Carolina,North Dakota,Ohio,Rhode Island,Vermont,West Virginia,Wisconsin","Connecticut,Delaware,Illinois,Iowa,Kansas,Maine,Massachusetts,Minnesota,New Hampshire,New Jersey,New York,North Dakota,Ohio,Rhode Island,South Carolina,Vermont,Virginia,West Virginia","Species of Concern","Animalia","Chordata","Aves"
"Coenonympha tullia","Large Heath","Exact Match","Coenonympha tullia,Coenoympha tullia","Iowa","Iowa,Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Colias alexandra","Queen Alexandra's Sulphur","Exact Match","Colias alexandra","","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Colinus virginianus","Northern Bobwhite","Exact Match","Colinus virginianus","Arkansas,Connecticut,Delaware,District of Columbia,Florida,Georgia,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Mississippi,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Texas,Virginia,West Virginia,Wisconsin","Arkansas,Colorado,Delaware,District of Columbia,Florida,Georgia,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maryland,Massachusetts,Mississippi,Missouri,New Jersey,New York,North Carolina,Ohio,Oklahoma,South Carolina,Tennessee,Texas,Virginia,West Virginia,Wisconsin",NA,"Animalia","Chordata","Aves"
"Coloradia luski","Lusk's pinemoth","Exact Match","Coloradia luski","Colorado","Colorado",NA,"Animalia","Arthropoda","Insecta"
"Conepatus leuconotus","Hog-nosed skunk","Exact Match","Conepatus leuconotus","Colorado,Texas","Colorado,Texas",NA,"Animalia","Chordata","Mammalia"
"Contopus cooperi","Olive-sided flycatcher","Fuzzy Match","Contopus borealis,Contopus cooperi","Alaska,Arizona,California,Colorado,Connecticut,Maine,Maryland,Michigan,Minnesota,Nevada,New Mexico,New York,Oregon,Pennsylvania,Tennessee,Vermont,West Virginia,Wisconsin","Alaska,Arizona,California,Colorado,Delaware,Idaho,Iowa,Maine,Maryland,Massachusetts,Minnesota,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,Oregon,Pennsylvania,Tennessee,Utah,Vermont,West Virginia,Wisconsin","Species of Concern","Animalia","Chordata","Aves"
"Contopus virens","Eastern Wood-pewee","Exact Match","Contopus virens","Connecticut,Kansas,Minnesota,New Jersey,North Carolina,Ohio,South Carolina,Tennessee,Texas,Virginia,West Virginia","Connecticut,Iowa,Kansas,Maine,Missouri,New Jersey,South Carolina,Virginia",NA,"Animalia","Chordata","Aves"
"Corallorhiza maculata var. occidentalis","Spotted Coral-Root","Exact Match","Corallorhiza maculata var. occidentalis","Nebraska","Nebraska,West Virginia",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Corallorhiza odontorhiza var. odontorhiza","Autumn Coral-root","Exact Match","Corallorhiza odontorhiza var. odontorhiza","","Nebraska,Vermont",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Corallorhiza striata var. vreelandii","Striped Coral-Root","Exact Match","Corallorhiza striata var. vreelandii","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Corallorhiza wisteriana","Wister's Coralroot, Spring Coralroot","Exact Match","Corallorhiza wisteriana","Nebraska","Nebraska,West Virginia",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Cordulegaster dorsalis","Pacific Spiketail","Exact Match","Cordulegaster dorsalis","","Colorado",NA,"Animalia","Arthropoda","Insecta"
"Coreopsis palmata","Finger Coreopsis","Exact Match","Coreopsis palmata","","Louisiana,Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Corispermum navicula","Boat-shaped bugseed","Exact Match","Corispermum navicula","","Colorado","Under Review in the Candidate or Petition Process","Plantae","Tracheophyta","Magnoliopsida"
"Corispermum villosum","Hairy Bugseed","Exact Match","Corispermum villosum","Missouri,Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Corispermum welshii","Welsh's Bugseed","Exact Match","Corispermum welshii","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Corvus cryptoleucus","Chihuahuan Raven","Exact Match","Corvus cryptoleucus","Kansas","Kansas",NA,"Animalia","Chordata","Aves"
"Corydalis aurea","Golden Corydalis","Exact Match","Corydalis aurea","Nebraska,Vermont","Nebraska,Vermont",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Corydalis flavula","Pale Corydalis","Exact Match","Corydalis flavula","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Corynorhinus townsendii","Townsend's Big-eared Bat","Exact Match","Corynorhinus townsendii,Corynorhinus  townsendii","California,Idaho,Kansas,Montana,Nebraska,Nevada,Oregon,South Dakota,Texas,Utah,Wyoming","California,Idaho,Kansas,Nebraska,Nevada,New Mexico,North Carolina,North Dakota,Oregon,South Dakota,Utah,Washington,Wyoming",NA,"Animalia","Chordata","Mammalia"
"Corynorhinus townsendii pallescens","Western Big-eared Bat","Exact Match","Corynorhinus townsendii pallascens,Corynorhinus townsendii pallescens,Plecotus (Chorynorhinus) townsendii pallescens","Colorado,Oklahoma,Washington","Arizona,Colorado,Oklahoma",NA,"Animalia","Chordata","Mammalia"
"Cottus carolinae","Banded Sculpin","Exact Match","Cottus carolinae","Illinois,Kansas,Mississippi,West Virginia","Kansas,Mississippi,North Carolina",NA,"Animalia","Chordata","Teleostei"
"Coturnicops noveboracensis","Yellow Rail","Exact Match","Coturnicops noveboracensis,Coturnicops noveborancensis","Alabama,California,Delaware,Illinois,Iowa,Kentucky,Louisiana,Maine,Michigan,Minnesota,Mississippi,Missouri,Montana,New York,North Carolina,North Dakota,Oklahoma,Oregon,South Carolina,Texas,Virginia,Wisconsin","Alabama,California,Florida,Georgia,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maine,Michigan,Minnesota,Mississippi,Missouri,New York,North Carolina,North Dakota,Oklahoma,South Carolina,Wisconsin","Species of Concern","Animalia","Chordata","Aves"
"Couesius plumbeus","Lake Chub","Exact Match","Couesius plumbeus","Alaska,Colorado,Idaho,Illinois,Massachusetts,Minnesota,Nebraska,South Dakota,Wyoming","Alaska,Colorado,Illinois,Massachusetts,Minnesota,Nebraska,New York,South Dakota,Washington",NA,"Animalia","Chordata","Teleostei"
"Crataegus macracantha","Spike Hawthorn","Fuzzy Match","Crataegus macracantha var. occidentalis","","Nebraska,Vermont",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Cratogeomys castanops","Yellow-faced Pocket Gopher","Exact Match","Cratogeomys castanops,Cratogeomys  castanops","Kansas,Texas","Kansas,Oklahoma,Texas",NA,"Animalia","Chordata","Mammalia"
"Crotalus horridus","Eastern Diamondback Rattlesnake","Exact Match","Crotalus h. horridus,Crotalus horridua,Crotalus horridus,Crotalus horridus 1,Crotalus horridus 2,Crotalus horridus (canebrake),Crotalus horridus horridus,Crotalus horridus (timber)","Connecticut,District of Columbia,Florida,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Ohio,Pennsylvania,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin","Connecticut,District of Columbia,Florida,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Massachusetts,Minnesota,Missouri,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",NA,"Animalia","Chordata","Reptilia"
"Crotalus oreganus concolor","Midget Faded Rattlesnake","Fuzzy Match","Crotalus oreganus concolor,Crotalus viridis concolor","Arizona,Colorado,Wyoming","Colorado,Utah,Wyoming",NA,"Animalia","Chordata","Reptilia"
"Crotalus viridis","Prairie Rattlesnake","Exact Match","Crotalus viridis","Iowa,Kansas,Oregon,Texas","Iowa,Kansas,Texas",NA,"Animalia","Chordata","Reptilia"
"Cryptantha osterhoutii","Osterhout cat’s-eye","Fuzzy Match","Oreocarya osterhoutii","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Cupido amyntula amyntula","Western Tailed Blue","Fuzzy Match","Everes amyntula","","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Cuscuta gronovii","Gronovius' Dodder","Exact Match","Cuscuta gronovii","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Cuscuta plattensis","Platte River Dodder","Exact Match","Cuscuta plattensis","","Nebraska","Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida"
"Cuscuta umbrosa","Big-fruit Dodder","Exact Match","Cuscuta umbrosa","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Cyclanthera dissecta","Cut-leaf Cyclanthera","Exact Match","Cyclanthera dissecta","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Cycleptus elongatus","Blue Sucker","Exact Match","Cycleptus elongatus","Arkansas,Illinois,Iowa,Kansas,Louisiana,Minnesota,Mississippi,Montana,Nebraska,New Mexico,North Dakota,Ohio,Oklahoma,Tennessee,Texas,West Virginia,Wisconsin","Arkansas,Iowa,Kansas,Louisiana,Minnesota,Mississippi,Missouri,Montana,Nebraska,New Mexico,North Dakota,Ohio,Oklahoma,South Dakota,Tennessee,Texas,West Virginia,Wisconsin","Species of Concern","Animalia","Chordata","Teleostei"
