"statelist_2015","statelist_2005","ListingStatus","tessCode","tessURL","nsNationalStatus","nsStatusLastReviewed","scientificname","taxonomicauthorityid","commonname","taxonomicgroup","taxonomicrank","matchmethod","scientificnames_submitted"
"Delaware,Florida,Illinois,Indiana,Iowa,Kansas,Kentucky,Michigan,Minnesota,Nevada,New Jersey,North Dakota,Ohio,Oklahoma,South Dakota,Wisconsin","Arkansas,Colorado,Delaware,Idaho,Illinois,Iowa,Kansas,Kentucky,Michigan,Minnesota,New Jersey,New Mexico,North Dakota,Ohio,Oklahoma,South Dakota,Texas,Wisconsin",NA,NA,NA,"Secure (breeding)","1997-03-19","Phalaropus tricolor","https://services.itis.gov/?q=tsn:176736","Wilson's Phalarope","Birds","Species","Exact Match","Phalaropus tricolor"
"California,Connecticut,Delaware,Florida,Idaho,Iowa,Maine,Maryland,Massachusetts,Michigan,Minnesota,Nevada,New Hampshire,New Jersey,New York,Rhode Island,South Carolina,Vermont,Washington,Wyoming","Alaska,California,Connecticut,Florida,Idaho,Maine,Maryland,Massachusetts,Michigan,Minnesota,Montana,Nevada,New Hampshire,New York,South Carolina,Vermont,Washington,Wyoming","Species of Concern","B0EY","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0EY","Apparently Secure (breeding), Secure (non-breeding)","1997-01-05","Gavia immer","https://services.itis.gov/?q=tsn:174469","Common Loon","Birds","Species","Exact Match","Gavia immer, Gavia immer "
"Colorado,Idaho,Montana,Nevada,Utah,Wyoming","Colorado,Idaho,Montana,Nevada,Utah,Wyoming","Species of Concern","B0J4","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0J4","Apparently Secure","1997-03-19","Leucosticte atrata","https://services.itis.gov/?q=tsn:179222","Black Rosy Finch","Birds","Species","Fuzzy Match","Leucosticte atrata, Leucosticte arata"
"Alaska,Arizona,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Oklahoma,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Washington,West Virginia,Wyoming","Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming","Recovery","B008","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B008","Secure (breeding), Secure (non-breeding)","1997-01-05","Haliaeetus leucocephalus","https://services.itis.gov/?q=tsn:175420","Bald Eagle","Birds","Species","Exact Match","Haliaeetus leucophalus, Haliaeetus leucocephalus , Haliaetus leucocephalus, Haliaeetus leucocephalus"
"California,Colorado,Maine,Washington,Wyoming","California,Colorado,Maine,Oregon,Wyoming",NA,NA,NA,"Secure (breeding), Secure (non-breeding)","1997-01-05","Bucephala islandica","https://services.itis.gov/?q=tsn:175144","Barrow's Goldeneye","Birds","Species","Exact Match","Bucephala islandica"
"Alaska,Arizona","Alaska,Arizona",NA,NA,NA,"Secure (breeding)","1997-03-19","Geothlypis tolmiei","https://services.itis.gov/?q=tsn:950023","MacGillivray's Warbler","Birds","Species","Exact Match","Oporornis tolmiei, Geothlypis tolmiei"
"Alaska,California,Oregon,Washington","Alaska,California,Oregon,Washington","Threatened","B08C","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B08C","Vulnerable","2013-01-23","Brachyramphus marmoratus","https://services.itis.gov/?q=tsn:176996","Marbled Murrelet","Birds","Species","Exact Match","Brachyranphus marmoratus, Brachyramphus marmoratus"
"Arizona,Nebraska","Colorado,Nebraska",NA,NA,NA,"Secure (breeding)","1997-03-19","Empidonax occidentalis","https://services.itis.gov/?q=tsn:554255","Cordilleran Flycatcher","Birds","Species","Exact Match","Empidonax occidentalis"
"California,Oregon,Washington","Oregon,Washington","Species of Concern","B0F9","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0F9","Unranked","Unknown","Pooecetes gramineus affinis","https://services.itis.gov/?q=tsn:179369","Oregon vesper sparrow","Birds","Subspecies","Fuzzy Match","Pooecetes gramineus affinis , Pooecetes gramineus affinis, Pooecetes gramineus affinins"
"California","California","Species of Concern","B080","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B080","Imperiled","1997-03-19","Geothlypis trichas sinuosa","https://services.itis.gov/?q=tsn:178954","saltmarsh common yellowthroat/San Francisco common yellowthroat","Birds","Subspecies","Exact Match","Geothlypis trichas sinuosa"
