"scientificname","commonname","taxonomicrank","matchmethod","taxonomicgroup","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","listingStatus","kingdom","phylum","class","order","family","genus"
"Abaeis nicippe","Sleepy Orange","Species","Fuzzy Match","Insects","Eurema nicippe","","Nebraska",0,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Abaeis"
"Acalypha ostryifolia","Rough-pod Copperleaf","Species","Exact Match","Plants","Acalypha ostryifolia","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"Acanthametropus pecatonica","Pecatonica River Mayfly","Species","Exact Match","Insects","Acanthametropus pecatonica","Illinois,Wisconsin","Illinois,South Carolina,Wisconsin",2,3,NA,"Animalia","Arthropoda","Insecta","Ephemeroptera","Acanthametropodidae","Acanthametropus"
"Accipiter gentilis","Northern Goshawk","Species","Fuzzy Match","Birds","Accipiter gentilis,Accipiter gentilus","Alaska,California,Colorado,Connecticut,Maryland,Michigan,Minnesota,Montana,Nevada,New Hampshire,New Jersey,New Mexico,New York,Oregon,Pennsylvania,Rhode Island,South Dakota,Utah,Vermont,Washington,West Virginia,Wisconsin,Wyoming","California,Colorado,Connecticut,Delaware,Maryland,Massachusetts,Michigan,Minnesota,Nevada,New Hampshire,New Jersey,New York,Pennsylvania,Rhode Island,South Dakota,Vermont,West Virginia,Wisconsin,Wyoming",23,19,"Resolved Taxon","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter"
"Accipiter striatus","Sharp-shinned Hawk","Species","Exact Match","Birds","Accipiter striatus","Alaska,California,Connecticut,Delaware,Indiana,Kentucky,Maryland,Massachusetts,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Rhode Island,Tennessee,West Virginia","Arkansas,Connecticut,Delaware,Indiana,Kentucky,Maryland,Missouri,Nebraska,New Jersey,Ohio,Pennsylvania,Tennessee",17,12,"Species of Concern","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter"
"Acella haldemani","spindle lymnaea","Species","Exact Match","Mollusks","Acella haldemani","Illinois,Michigan,Minnesota,New York,Vermont","Michigan,Vermont",5,2,NA,"Animalia","Mollusca","Gastropoda","Basommatophora","Lymnaeidae","Acella"
"Acer glabrum","Rocky Mountain Maple","Species","Exact Match","Plants","Acer glabrum","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer"
"Achalarus lyciades","Hoary Edge","Species","Exact Match","Insects","Achalarus lyciades","Indiana","Florida,Nebraska",1,2,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Achalarus"
"Acipenser fulvescens","Lake Sturgeon","Species","Exact Match","Fish","Acipenser fulvescens","Alabama,Arkansas,Georgia,Illinois,Indiana,Iowa,Kentucky,Michigan,Minnesota,Missouri,Nebraska,New York,North Carolina,Ohio,Pennsylvania,Tennessee,Vermont,Wisconsin","Alabama,Arkansas,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Michigan,Minnesota,Missouri,Nebraska,New York,Ohio,Pennsylvania,Tennessee,Vermont,Wisconsin",18,18,"Species of Concern","Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser"
"Aconitum uncinatum","Southern monkshood","Species","Exact Match","Plants","Aconitum uncinatum","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Aconitum"
"Acorus americanus","American Sweet-Flag","Species","Exact Match","Plants","Acorus americanus","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Acorales","Acoraceae","Acorus"
"Acris blanchardi","Blanchard's cricket frog","Species","Fuzzy Match","Amphibians","Acris blanchardi,Acris crepitans blanchardi","Michigan,Ohio,West Virginia","Colorado,Michigan,Minnesota,Missouri,South Dakota,West Virginia,Wisconsin",3,7,NA,"Animalia","Chordata","Amphibia","Anura","Hylidae","Acris"
"Acris crepitans","Northern Cricket Frog","Species","Exact Match","Amphibians","Acris crepitans,Acris crepitans crepitans","Colorado,District of Columbia,Iowa,Kansas,Minnesota,New York,Pennsylvania,South Carolina,South Dakota,West Virginia,Wisconsin","Delaware,Indiana,Iowa,New Jersey,New York,Pennsylvania,South Carolina,West Virginia",11,8,NA,"Animalia","Chordata","Amphibia","Anura","Hylidae","Acris"
"Acroneuria abnormis","Common Stone","Species","Exact Match","Insects","Acroneuria abnormis","","Illinois",0,1,NA,"Animalia","Arthropoda","Insecta","Plecoptera","Perlidae","Acroneuria"
"Acroneuria frisoni","Central Stone","Species","Exact Match","Insects","Acroneuria frisoni","","Illinois",0,1,NA,"Animalia","Arthropoda","Insecta","Plecoptera","Perlidae","Acroneuria"
"Acroneuria ozarkensis","Ozark Stone","Species","Exact Match","Insects","Acroneuria ozarkensis","Missouri","Missouri",1,1,NA,"Animalia","Arthropoda","Insecta","Plecoptera","Perlidae","Acroneuria"
"Acronicta dolli","Doll's Merolonche","Species","Exact Match","Insects","Acronicta dolli","","New Jersey,Pennsylvania,West Virginia,Wisconsin",0,4,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta"
"Acronicta falcula","Corylus Dagger Moth","Species","Exact Match","Insects","Acronicta falcula","Michigan","Connecticut,Michigan",1,2,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta"
"Actaea pachypoda","White Baneberry","Species","Exact Match","Plants","Actaea pachypoda","Nebraska","Louisiana,Nebraska",1,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Actaea"
"Actitis macularius","Spotted Sandpiper","Species","Fuzzy Match","Birds","Actitis macularia,Actitis macularius,Actitus macularius","Connecticut,Delaware,Kentucky,Michigan,New Jersey,Ohio,Rhode Island,South Carolina,Virgin Islands,West Virginia","Alaska,Delaware,Kentucky,Maryland,New Jersey,Pennsylvania,Rhode Island,South Carolina,West Virginia",10,9,NA,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis"
"Aechmophorus clarkii","Clark's Grebe","Species","Exact Match","Birds","Aechmophorus clarkii","Arizona,Idaho,Montana,Nebraska,Nevada,Wyoming","Arizona,Idaho,Nebraska,New Mexico,Washington,Wyoming",6,6,NA,"Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Aechmophorus"
"Aechmophorus occidentalis","Western Grebe","Species","Exact Match","Birds","Aechmophorus occidentalis","Arizona,Colorado,Idaho,Kansas,Minnesota,Nebraska,Nevada,Washington,Wyoming","Arizona,Idaho,Kansas,Minnesota,Nebraska,Washington",9,6,"Species of Concern","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Aechmophorus"
"Aegolius acadicus","Northern Saw-whet Owl","Species","Exact Match","Birds","Aegalius acadicus,Aegolius acadicus","Alaska,Connecticut,Maryland,North Carolina,Ohio,Tennessee,Virginia,West Virginia","Arizona,Connecticut,Delaware,Maryland,Nebraska,New Jersey,North Carolina,Pennsylvania,Tennessee,Virginia,West Virginia",8,11,NA,"Animalia","Chordata","Aves","Strigiformes","Strigidae","Aegolius"
"Aegolius funereus","Boreal Owl","Species","Exact Match","Birds","Aegolius funereus","Alaska,Colorado,Idaho,Minnesota,New Mexico,Utah,Wyoming","Alaska,Colorado,Minnesota,New Mexico,Utah,Wyoming",7,6,NA,"Animalia","Chordata","Aves","Strigiformes","Strigidae","Aegolius"
"Aeronautes saxatalis","White-throated Swift","Species","Exact Match","Birds","Aeronautes saxatalis","Colorado,Nebraska,Nevada,Texas","Arizona,Nebraska",4,2,NA,"Animalia","Chordata","Aves","Apodiformes","Apodidae","Aeronautes"
"Aeropedellus clavatus","Club-horned Grasshopper","Species","Exact Match","Insects","Aeropedellus clavatus","Wisconsin","Wisconsin",1,1,NA,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Aeropedellus"
"Aesculus glabra var. arguta","Ohio Buckeye","Variety","Exact Match","Plants","Aesculus glabra var. arguta","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Aesculus"
"Aeshna canadensis","Canada Darner","Species","Exact Match","Insects","Aeshna canadensis","Iowa,Maryland,Ohio,Virginia,West Virginia","Illinois,Iowa,Maryland,Ohio,Virginia,West Virginia",5,6,NA,"Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna"
"Aeshna clepsydra","Mottled Darner","Species","Exact Match","Insects","Aeshna clepsydra","Ohio,Pennsylvania,Vermont,Wisconsin","New Jersey,Ohio,Pennsylvania,Vermont,Wisconsin",4,5,NA,"Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna"
"Aeshna interrupta","Variable Darner","Species","Exact Match","Insects","Aeshna interrupta","Iowa","Iowa,Ohio,Pennsylvania",1,3,NA,"Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna"
"Aeshna sitchensis","Zigzag Darner","Species","Exact Match","Insects","Aeshna sitchensis","Michigan,Vermont,Wisconsin","Maine,Minnesota,Vermont,Wisconsin",3,4,NA,"Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna"
"Aeshna subarctica","Subarctic Darner","Species","Exact Match","Insects","Aeshna subarctica","Massachusetts,Michigan,Montana,New York,Vermont,Washington,Wisconsin","Massachusetts,Minnesota,New Jersey,Vermont,Wisconsin",7,5,NA,"Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna"
"Aflexia rubranura","Red-tailed Prairie Leafhopper","Unknown Taxonomic Rank","Legacy Match","Insects","Aflexia rubranura","Illinois,Minnesota,Wisconsin","Illinois,Minnesota,Wisconsin",3,3,"Species of Concern",NA,NA,NA,NA,NA,NA
"Agabetes acuductus","A Water Scavenger Beetle","Species","Exact Match","Insects","Agabetes acuductus","Delaware,Wisconsin","Delaware,Wisconsin",2,2,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabetes"
"Agabus aeruginosus","A Predaceous Diving Beetle","Species","Exact Match","Insects","Agabus aeruginosus","Wisconsin","Wisconsin",1,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus"
"Agabus discolor","A Predaceous Diving Beetle","Species","Exact Match","Insects","Agabus discolor","Wisconsin","Wisconsin",1,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus"
"Agabus immaturus","A Predaceous Diving Beetle","Species","Exact Match","Insects","Agabus immaturus","Wisconsin","Wisconsin",1,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus"
"Agabus leptapsis","A Predaceous Diving Beetle","Species","Exact Match","Insects","Agabus leptapsis","Wisconsin","Wisconsin",1,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus"
"Agalinis aspera","Rough false foxglove","Species","Exact Match","Plants","Agalinis aspera","","Missouri",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agalinis auriculata","Earleaf Foxglove","Species","Exact Match","Plants","Agalinis auriculata","Missouri","Missouri,South Carolina,Tennessee,Texas,West Virginia",1,5,"Species of Concern","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agalinis gattingeri","Round-stem False Foxglove","Species","Exact Match","Plants","Agalinis gattingeri","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agalinis heterophylla","Prairie false foxglove","Species","Exact Match","Plants","Agalinis heterophylla","Missouri","Missouri,Tennessee",1,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agalinis purpurea","Purple False Foxglove","Species","Exact Match","Plants","Agalinis purpurea","Missouri,Nebraska","Missouri,Nebraska",2,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agalinis tenuifolia","Narrow-leaf False Foxglove","Species","Fuzzy Match","Plants","Agalinis tenuifolia var. macrophylla","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agalinis viridis","Green false foxglove","Species","Exact Match","Plants","Agalinis viridis","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agapetus artesus","Artesian Agapetus Caddisfly","Species","Exact Match","Insects","Agapetus artesus","Missouri","Missouri",1,1,"Species of Concern","Animalia","Arthropoda","Insecta","Trichoptera","Glossosomatidae","Agapetus"
"Agapetus tomus","a species of caddisfly","Species","Exact Match","Insects","Agapetus tomus","Minnesota","Minnesota",1,1,NA,"Animalia","Arthropoda","Insecta","Trichoptera","Glossosomatidae","Agapetus"
"Agastache foeniculum","Lavender Giant-hyssop","Species","Exact Match","Plants","Agastache foeniculum","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Agastache"
"Agastache scrophulariifolia","Purple Giant Hyssop","Species","Exact Match","Plants","Agastache scrophulariifolia","Georgia,Missouri,Nebraska,Vermont","Georgia,Massachusetts,Missouri,Nebraska,Tennessee,Vermont",4,6,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Agastache"
"Agkistrodon contortrix","Copperhead","Species","Exact Match","Reptiles","Agkistrodon contortix,Agkistrodon contortrix,Agkistsrodon contortrix","Connecticut,Delaware,District of Columbia,Florida,Iowa,Massachusetts,Nebraska","Connecticut,Delaware,District of Columbia,Iowa,Massachusetts,Nebraska,Pennsylvania",7,7,NA,"Animalia","Chordata","Reptilia","Squamata","Viperidae","Agkistrodon"
"Agkistrodon contortrix mokasen","Northern copperhead","Subspecies","Exact Match","Reptiles","Agkistrodon contortrix mokasen","New Jersey,New York","New Jersey,New York,Ohio,West Virginia",2,4,NA,"Animalia","Chordata","Reptilia","Squamata","Viperidae","Agkistrodon"
"Agkistrodon piscivorus","Cottonmouth","Species","Exact Match","Reptiles","Agkistrodon piscivorus","Indiana,Kansas","Indiana",2,1,NA,"Animalia","Chordata","Reptilia","Squamata","Viperidae","Agkistrodon"
"Agkistrodon piscivorus leucostoma","Western Cottonmouth","Subspecies","Exact Match","Reptiles","Agkistrodon piscivorus leucostoma","Kentucky","Kentucky",1,1,NA,"Animalia","Chordata","Reptilia","Squamata","Viperidae","Agkistrodon"
"Aglais milberti","Milbert's Tortoiseshell","Species","Fuzzy Match","Insects","Nymphalis milberti","","Nebraska",0,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais"
"Agoseris glauca var. glauca","Pale False-dandelion","Variety","Exact Match","Plants","Agoseris glauca var. glauca","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Agoseris"
"Agrimonia gryposepala","Tall agrimony","Species","Exact Match","Plants","Agrimonia gryposepala","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Agrimonia"
"Agrostis exarata","Spikebent","Species","Fuzzy Match","Plants","Agrostis exarata var. minor","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Agrostis"
"Agrotis stigmosa","Spotted Dart Moth","Species","Exact Match","Insects","Agrotis stigmosa","Connecticut,Illinois","Connecticut,Illinois,Rhode Island",2,3,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Agrotis"
"Aix sponsa","Wood Duck","Species","Exact Match","Birds","Aix sponsa","Arizona,District of Columbia,New Jersey,Ohio,South Carolina","Arizona,District of Columbia,New Jersey,Ohio,Rhode Island,South Carolina",5,6,NA,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Aix"
"Alasmidonta atropurpurea","Cumberland Elktoe","Species","Exact Match","Mollusks","Alasmidonta atropurpurea","Kentucky,Tennessee","Kentucky,Tennessee",2,2,"Endangered","Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Alasmidonta"
"Alasmidonta marginata","Elktoe","Species","Exact Match","Mollusks","Alasmidonta marginaa,Alasmidonta marginata","Alabama,Arkansas,Georgia,Iowa,Kansas,Kentucky,Michigan,Minnesota,Missouri,New York,Ohio,Oklahoma,South Dakota,Tennessee,Vermont,Virginia,West Virginia","Alabama,Arkansas,Illinois,Iowa,Kansas,Kentucky,Michigan,Minnesota,Missouri,New York,Ohio,Oklahoma,Pennsylvania,South Dakota,Tennessee,Vermont,Virginia,West Virginia,Wisconsin",17,19,"Species of Concern","Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Alasmidonta"
"Alasmidonta viridis","Slippershell Mussel","Species","Exact Match","Mollusks","Alasmidonta viridis","Alabama,Arkansas,Georgia,Illinois,Iowa,Kansas,Kentucky,Michigan,Missouri,New York,North Carolina,Tennessee,Virginia,Wisconsin","Alabama,Arkansas,Illinois,Iowa,Kentucky,Michigan,Missouri,New York,North Carolina,Ohio,Tennessee,Virginia,Wisconsin",14,13,NA,"Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Alasmidonta"
"Alces americanus","Moose","Species","Exact Match","Mammals","Alces americanus","","Massachusetts,Michigan,Minnesota,New Hampshire,New York",0,5,NA,"Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Alces"
"Aliciella pinnatifida","Sticky Gilia","Species","Exact Match","Plants","Aliciella pinnatifida","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Polemoniaceae","Aliciella"
"Allium canadense var. fraseri","Fraser'sWild Onion","Variety","Exact Match","Plants","Allium canadense var. fraseri","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asparagales","Amaryllidaceae","Allium"
"Allium cernuum","Nodding WildOnion","Species","Exact Match","Plants","Allium cernuum","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asparagales","Amaryllidaceae","Allium"
"Allium drummondii","Drummond's Wild Onion","Species","Exact Match","Plants","Allium drummondii","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asparagales","Amaryllidaceae","Allium"
"Allium tricoccum var. burdickii","Narrow-leaved Wild Leek","Variety","Fuzzy Match","Plants","Allium burdickii,Allium tricoccum var. burdicki,Allium tricoccum var. burdickii","Missouri","Nebraska,Tennessee,Vermont",1,3,NA,"Plantae","Tracheophyta","Magnoliopsida","Asparagales","Amaryllidaceae","Allium"
"Allocapnia illinoensis","Illinois snowfly","Species","Exact Match","Insects","Allocapnia illinoensis","Illinois,Minnesota,New York,Virginia","Illinois,New York,Virginia",4,3,NA,"Animalia","Arthropoda","Insecta","Plecoptera","Capniidae","Allocapnia"
"Allocrangonyx hubrichti","Hubricht's Long-tailed Amphipod","Species","Exact Match","Other Invertebrates","Allocrangonyx hubrichti","Arkansas,Missouri","Arkansas,Missouri",2,2,"Species of Concern","Animalia","Arthropoda","Malacostraca","Amphipoda","Allocrangonyctidae","Allocrangonyx"
"Allogona profunda","Broad-banded Forestsnail","Species","Exact Match","Mollusks","Allogona profunda","Pennsylvania","Pennsylvania,Wisconsin",1,2,NA,"Animalia","Mollusca","Gastropoda","Stylommatophora","Polygyridae","Allogona"
"Alopecurus aequalis","Tufted foxtail","Species","Exact Match","Plants","Alopecurus aequalis","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Alopecurus"
"Alosa alabamae","Alabama Shad","Species","Exact Match","Fish","Alosa alabamae","Alabama,Arkansas,Florida,Georgia,Kentucky,Louisiana,Mississippi,Missouri,Oklahoma","Alabama,Arkansas,Florida,Georgia,Illinois,Kentucky,Louisiana,Mississippi,Missouri,Oklahoma",9,10,NA,"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Alosa"
"Alosa chrysochloris","Skipjack Herring","Species","Exact Match","Fish","Alosa chrysochloris","Iowa,Minnesota,Wisconsin","Iowa,Minnesota,Missouri,Wisconsin",3,4,NA,"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Alosa"
"Altica litigata","A Leaf Beetle","Species","Exact Match","Insects","Altica litigata","","Wisconsin",0,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Altica"
"Amaranthus californicus","California Amaranth","Species","Exact Match","Plants","Amaranthus californicus","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus"
"Amblema plicata","Threeridge","Species","Exact Match","Mollusks","Amblema plicata","Kansas,Nebraska,New York,North Dakota,Ohio,Oklahoma,Pennsylvania","Florida,Iowa,Nebraska,New York,North Dakota,Ohio,Pennsylvania,Virginia,West Virginia",7,9,NA,"Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Amblema"
"Ambloplites rupestris","Rock Bass","Species","Exact Match","Fish","Ambloplites rupestris","Mississippi","Iowa,Mississippi",1,2,NA,"Animalia","Chordata","Teleostei","Perciformes","Centrarchidae","Ambloplites"
"Amblycheila cylindriformis","Great Plains tiger beetle","Species","Exact Match","Insects","Amblycheila cylindriformis","Nebraska,South Dakota","Nebraska,South Dakota",2,2,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Amblycheila"
"Amblyopsis hoosieri","Hoosier Cavefish","Species","Exact Match","Fish","Amblyopsis hoosieri","","Indiana",0,1,NA,"Animalia","Chordata","Actinopterygii","Percopsiformes","Amblyopsidae","Amblyopsis"
"Amblyopsis rosae","Ozark Cavefish","Species","Exact Match","Fish","Amblyopsis rosae","Arkansas,Missouri,Oklahoma","Missouri,Oklahoma",3,2,"Threatened","Animalia","Chordata","Teleostei","Percopsiformes","Amblyopsidae","Amblyopsis"
"Amblyopsis spelaea","Northern Cavefish","Species","Exact Match","Fish","Amblyopsis spelaea","Indiana,Kentucky","Kentucky",2,1,"Under Review in the Candidate or Petition Process","Animalia","Chordata","Teleostei","Percopsiformes","Amblyopsidae","Amblyopsis"
"Amblyscirtes aesculapius","Lace-winged Roadside-Skipper","Species","Exact Match","Insects","Amblyscirtes aesculapius","Arkansas,Delaware,Illinois","Arkansas,Florida,Illinois,Louisiana",3,4,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Amblyscirtes"
"Amblyscirtes belli","Bell's Roadside Skipper","Species","Exact Match","Insects","Amblyscirtes belli","Kansas","Arkansas,Georgia,Kansas",1,3,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Amblyscirtes"
"Amblyscirtes carolina","Carolina roadside-skipper","Species","Exact Match","Insects","Amblyscirtes carolina","Arkansas,Delaware,Illinois","Arkansas,Georgia,Illinois",3,3,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Amblyscirtes"
"Amblyscirtes hegon","Pepper and Salt Skipper","Species","Exact Match","Insects","Amblyscirtes hegon","Indiana,Iowa,Louisiana,Maryland","Florida,Iowa,Louisiana,Maryland,New Jersey,Ohio",4,6,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Amblyscirtes"
"Amblyscirtes linda","Linda's Roadside Skipper","Species","Exact Match","Insects","Amblyscirtes linda","Arkansas,Illinois,Kansas,Oklahoma,Tennessee","Arkansas,Illinois,Kansas,Missouri,Oklahoma,Tennessee",5,6,"Under Review in the Candidate or Petition Process","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Amblyscirtes"
"Amblyscirtes oslari","Oslar's Roadside Skipper","Species","Exact Match","Insects","Amblyscirtes oslari","","Nebraska",0,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Amblyscirtes"
"Amblyscirtes reversa","Reversed roadside-skipper","Species","Exact Match","Insects","Amblyscirtes reversa","Illinois","Florida,Georgia,Illinois",1,3,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Amblyscirtes"
"Amblyscirtes vialis","Common Roadside Skipper","Species","Exact Match","Insects","Amblyscirtes vialis","Connecticut,Indiana,Pennsylvania","Connecticut,Florida,Iowa,New Jersey,Pennsylvania",3,5,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Amblyscirtes"
"Amblytropidia mysteca","A Glade grasshopper","Species","Exact Match","Insects","Amblytropidia mysteca","Missouri","Missouri",1,1,NA,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Amblytropidia"
"Ambrosia tomentosa","Perennial Bursage","Species","Exact Match","Plants","Ambrosia tomentosa","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia"
"Ambrysus mormon","Creeping Water Bug","Species","Exact Match","Insects","Ambrysus mormon","","Nebraska",0,1,NA,"Animalia","Arthropoda","Insecta","Hemiptera","Naucoridae","Ambrysus"
"Ambystoma annulatum","Ringed Salamander","Species","Exact Match","Amphibians","Ambystoma annulatum","Arkansas,Missouri,Oklahoma","Arkansas,Missouri,Oklahoma",3,3,NA,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma"
"Ambystoma barbouri","Streamside Salamander","Species","Exact Match","Amphibians","Ambystoma barbouri","Kentucky,Ohio,Tennessee,West Virginia","Indiana,Kentucky,Ohio,Tennessee,West Virginia",4,5,"Under Review in the Candidate or Petition Process","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma"
"Ambystoma jeffersonianum","Jefferson Salamander","Species","Exact Match","Amphibians","Ambystoma jeffersonianum","Connecticut,Illinois,Maryland,Massachusetts,New Hampshire,New Jersey,New York,Ohio,Pennsylvania,Vermont,Virginia,West Virginia","Connecticut,Illinois,Maryland,Massachusetts,New Hampshire,New Jersey,Ohio,Pennsylvania,Vermont,Virginia,West Virginia",12,11,NA,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma"
"Ambystoma laterale","Silvery Salamander","Species","Fuzzy Match","Amphibians","Ambystoma laterale,Ambystoma laterale 1,Ambystoma laterale 2,Ambystoma platineum","Connecticut,Illinois,Indiana,Iowa,Massachusetts,Michigan,New Hampshire,New Jersey,New York,Ohio,Vermont","Connecticut,Illinois,Indiana,Iowa,Maine,Massachusetts,New Hampshire,New Jersey,New York,Ohio,Pennsylvania,Vermont",11,12,NA,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma"
"Ambystoma maculatum","Spotted Salamander","Species","Exact Match","Amphibians","Ambystoma maculatum","Connecticut,Delaware,District of Columbia,Michigan,Minnesota,North Carolina,Ohio,Vermont","Connecticut,Delaware,District of Columbia,Minnesota,New Jersey,Rhode Island,Vermont",8,7,NA,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma"
"Ambystoma opacum","Marbled Salamander","Species","Exact Match","Amphibians","Ambystoma opacum","Connecticut,District of Columbia,Massachusetts,Michigan,New Hampshire,New Jersey,New York,North Carolina,Ohio,Rhode Island","Connecticut,Delaware,District of Columbia,Massachusetts,Michigan,New Hampshire,New Jersey,New York,Ohio,Pennsylvania,Rhode Island,West Virginia",10,12,NA,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma"
"Ambystoma talpoideum","Mole Salamander","Species","Exact Match","Amphibians","Ambystoma talpoideum","Arkansas,Illinois,Kentucky,Missouri,North Carolina,Oklahoma,Texas,Virginia","Arkansas,Indiana,Kentucky,Missouri,North Carolina,Oklahoma,Virginia",8,7,NA,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma"
