"scientificname","statelist_2015","Montana","Wyoming","Colorado","North Dakota","South Dakota","Nebraska","Kansas"
"Caulophyllum thalictroides","Nebraska",0,0,0,0,0,1,0
"Celastrina humulus","Colorado",0,0,1,0,0,0,0
"Centrocercus minimus","Colorado,Utah",0,0,1,0,0,0,0
"Centrocercus urophasianus","California,Colorado,Idaho,Montana,Nevada,North Dakota,Oregon,South Dakota,Utah,Washington,Wyoming",1,1,1,1,1,0,0
"Cephalanthus occidentalis","Nebraska",0,0,0,0,0,1,0
"Cerastium nutans var. nutans","Nebraska",0,0,0,0,0,1,0
"Cercobrachys fox","Nebraska,Wisconsin",0,0,0,0,0,1,0
"Cercyonis meadii","Nebraska",0,0,0,0,0,1,0
"Cercyonis oetus","Nebraska",0,0,0,0,0,1,0
"Certhia americana","Connecticut,Delaware,District of Columbia,Kentucky,Maryland,Nebraska,Pennsylvania,Tennessee",0,0,0,0,0,1,0
"Chaerophyllum tainturieri var. tainturieri","Nebraska",0,0,0,0,0,1,0
"Chaetodipus hispidus","Louisiana,North Dakota,Wyoming",0,1,0,1,0,0,0
"Chaetopappa ericoides","Nebraska",0,0,0,0,0,1,0
"Chamerion angustifolium ssp. circumvagum","Nebraska",0,0,0,0,0,1,0
"Charadrius alexandrinus","Nebraska,Oklahoma,Tennessee,Texas",0,0,0,0,0,1,0
"Charadrius melodus","Alabama,Arkansas,Colorado,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Montana,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Oklahoma,Pennsylvania,Rhode Island,South Carolina,South Dakota,Texas,Virginia,Wisconsin",1,0,1,0,1,1,1
"Charadrius melodus circumcinctus","North Dakota",0,0,0,1,0,0,0
"Charadrius montanus","Arizona,California,Colorado,Kansas,Montana,Nebraska,New Mexico,Oklahoma,Texas,Wyoming",1,1,1,0,0,1,1
"Charadrius nivosus","Alabama,California,Florida,Kansas,Louisiana,Mississippi,New Mexico,Utah,Washington",0,0,0,0,0,0,1
"Charadrius nivosus nivosus","Arizona,Colorado,Nevada,Oregon",0,0,1,0,0,0,0
"Charina bottae","Nevada,Wyoming",0,1,0,0,0,0,0
"Cheilanthes feei","Nebraska",0,0,0,0,0,1,0
"Chelydra serpentina","Iowa,New York,North Dakota,South Carolina,Texas,Virginia",0,0,0,1,0,0,0
"Chenopodium cycloides","Nebraska",0,0,0,0,0,1,0
"Chenopodium pallescens","Nebraska",0,0,0,0,0,1,0
"Chlidonias niger","California,Colorado,Delaware,Florida,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Maine,Michigan,Minnesota,Nebraska,Nevada,New Jersey,New York,North Dakota,Ohio,Pennsylvania,South Dakota,Texas,Vermont,Wisconsin,Wyoming",0,1,1,1,1,1,1
"Chlosyne acastus","Nebraska",0,0,0,0,0,1,0
"Chlosyne nycteis","Connecticut,Florida,Nebraska,New Jersey,Pennsylvania",0,0,0,0,0,1,0
"Chondestes grammacus","Kansas,Kentucky,Louisiana,Minnesota,Ohio,Texas,Wisconsin",0,0,0,0,0,0,1
"Chordeiles minor","Arizona,Arkansas,Connecticut,Delaware,District of Columbia,Florida,Idaho,Illinois,Indiana,Iowa,Kansas,Maine,Maryland,Massachusetts,Michigan,Minnesota,Nevada,New Hampshire,New Jersey,New Mexico,New York,Oregon,Pennsylvania,Tennessee,Vermont,West Virginia,Wisconsin",0,0,0,0,0,0,1
"Chrosomus eos","Colorado,Massachusetts,Nebraska,New Hampshire,North Dakota,Pennsylvania,South Dakota",0,0,1,1,1,1,0
"Chrosomus erythrogaster","Colorado,Iowa,Kansas,Michigan,Mississippi,New Mexico,Ohio,Pennsylvania,South Dakota,West Virginia",0,0,1,0,1,0,1
"Chrosomus neogaeus","Nebraska,New Hampshire,North Dakota,South Dakota,Wyoming",0,1,0,1,1,1,0
"Chrysemys picta bellii","Oregon,Wyoming",0,1,0,0,0,0,0
"Chylismia eastwoodiae","Colorado",0,0,1,0,0,0,0
"Cicindela decemnotata","Nebraska",0,0,0,0,0,1,0
"Cicindela limbata nympha","Minnesota,South Dakota",0,0,0,0,1,0,0
"Cicindela nebraskana","Nebraska",0,0,0,0,0,1,0
"Cicindela pulchra","Nebraska",0,0,0,0,0,1,0
"Cicindela theatina","Colorado",0,0,1,0,0,0,0
"Cicuta maculata var. bolanderi","Nebraska",0,0,0,0,0,1,0
"Cinclus mexicanus","Arizona,South Dakota",0,0,0,0,1,0,0
"Circus cyaneus","Alaska,California,Colorado,Connecticut,Delaware,Illinois,Indiana,Iowa,Kentucky,Maine,Maryland,Massachusetts,Michigan,Minnesota,Missouri,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Pennsylvania,Rhode Island,Tennessee,Texas,Vermont,Virginia,West Virginia",0,0,1,1,0,0,0
"Cirsium discolor","Nebraska,Vermont",0,0,0,0,0,1,0
"Cirsium perplexans","Colorado",0,0,1,0,0,0,0
"Cistothorus platensis","Arkansas,Connecticut,Delaware,Florida,Indiana,Iowa,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Nebraska,New Hampshire,New Jersey,New York,Ohio,Pennsylvania,South Carolina,Tennessee,Texas,Vermont",0,0,0,0,0,1,0
"Claytonia virginica","Massachusetts,Nebraska,Vermont",0,0,0,0,0,1,0
"Clematis fremontii","Georgia,Missouri,Nebraska,Tennessee",0,0,0,0,0,1,0
"Clematis hirsutissima var. scottii","Nebraska",0,0,0,0,0,1,0
"Clematis pitcheri var. pitcheri","Nebraska",0,0,0,0,0,1,0
"Coccinella novemnotata","Connecticut,Florida,Nebraska,New York,Rhode Island",0,0,0,0,0,1,0
"Coccyzus americanus","Arizona,Arkansas,California,Colorado,Connecticut,District of Columbia,Idaho,Illinois,Iowa,Maine,Minnesota,Missouri,Nevada,New Jersey,New Mexico,Ohio,Rhode Island,South Carolina,Texas,Utah,Virginia,Washington,Wyoming",0,1,1,0,0,0,0
"Coccyzus erythropthalmus","Connecticut,Delaware,Illinois,Iowa,Kansas,Maine,Massachusetts,Minnesota,New Hampshire,New Jersey,New York,North Dakota,Ohio,Rhode Island,South Carolina,Vermont,Virginia,West Virginia",0,0,0,1,0,0,1
"Coenonympha tullia","Iowa,Nebraska",0,0,0,0,0,1,0
"Colias alexandra","Nebraska",0,0,0,0,0,1,0
"Colinus virginianus","Arkansas,Colorado,Delaware,District of Columbia,Florida,Georgia,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maryland,Massachusetts,Mississippi,Missouri,New Jersey,New York,North Carolina,Ohio,Oklahoma,South Carolina,Tennessee,Texas,Virginia,West Virginia,Wisconsin",0,0,1,0,0,0,1
"Coloradia luski","Colorado",0,0,1,0,0,0,0
"Conepatus leuconotus","Colorado,Texas",0,0,1,0,0,0,0
"Contopus cooperi","Alaska,Arizona,California,Colorado,Delaware,Idaho,Iowa,Maine,Maryland,Massachusetts,Minnesota,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,Oregon,Pennsylvania,Tennessee,Utah,Vermont,West Virginia,Wisconsin",0,0,1,0,0,0,0
"Contopus virens","Connecticut,Iowa,Kansas,Maine,Missouri,New Jersey,South Carolina,Virginia",0,0,0,0,0,0,1
"Corallorhiza maculata var. occidentalis","Nebraska,West Virginia",0,0,0,0,0,1,0
"Corallorhiza odontorhiza var. odontorhiza","Nebraska,Vermont",0,0,0,0,0,1,0
"Corallorhiza striata var. vreelandii","Nebraska",0,0,0,0,0,1,0
"Corallorhiza wisteriana","Nebraska,West Virginia",0,0,0,0,0,1,0
"Cordulegaster dorsalis","Colorado",0,0,1,0,0,0,0
"Coreopsis palmata","Louisiana,Nebraska",0,0,0,0,0,1,0
"Corispermum navicula","Colorado",0,0,1,0,0,0,0
"Corispermum villosum","Nebraska",0,0,0,0,0,1,0
"Corispermum welshii","Nebraska",0,0,0,0,0,1,0
"Corvus cryptoleucus","Kansas",0,0,0,0,0,0,1
"Corydalis aurea","Nebraska,Vermont",0,0,0,0,0,1,0
"Corydalis flavula","Nebraska",0,0,0,0,0,1,0
"Corynorhinus townsendii","California,Idaho,Kansas,Nebraska,Nevada,New Mexico,North Carolina,North Dakota,Oregon,South Dakota,Utah,Washington,Wyoming",0,1,0,1,1,1,1
"Corynorhinus townsendii pallescens","Arizona,Colorado,Oklahoma",0,0,1,0,0,0,0
"Cottus carolinae","Kansas,Mississippi,North Carolina",0,0,0,0,0,0,1
"Coturnicops noveboracensis","Alabama,California,Florida,Georgia,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maine,Michigan,Minnesota,Mississippi,Missouri,New York,North Carolina,North Dakota,Oklahoma,South Carolina,Wisconsin",0,0,0,1,0,0,1
"Couesius plumbeus","Alaska,Colorado,Illinois,Massachusetts,Minnesota,Nebraska,New York,South Dakota,Washington",0,0,1,0,1,1,0
"Crataegus macracantha","Nebraska,Vermont",0,0,0,0,0,1,0
"Cratogeomys castanops","Kansas,Oklahoma,Texas",0,0,0,0,0,0,1
"Crotalus horridus","Connecticut,District of Columbia,Florida,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Massachusetts,Minnesota,Missouri,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",0,0,0,0,0,1,1
"Crotalus oreganus concolor","Colorado,Utah,Wyoming",0,1,1,0,0,0,0
"Crotalus viridis","Iowa,Kansas,Texas",0,0,0,0,0,0,1
"Cryptantha osterhoutii","Colorado",0,0,1,0,0,0,0
"Cupido amyntula amyntula","Nebraska",0,0,0,0,0,1,0
"Cuscuta gronovii","Nebraska",0,0,0,0,0,1,0
"Cuscuta plattensis","Nebraska",0,0,0,0,0,1,0
"Cuscuta umbrosa","Nebraska",0,0,0,0,0,1,0
"Cyclanthera dissecta","Nebraska",0,0,0,0,0,1,0
"Cycleptus elongatus","Arkansas,Iowa,Kansas,Louisiana,Minnesota,Mississippi,Missouri,Montana,Nebraska,New Mexico,North Dakota,Ohio,Oklahoma,South Dakota,Tennessee,Texas,West Virginia,Wisconsin",1,0,0,1,1,1,1
"Cyclonaias tuberculata","Illinois,Iowa,Kansas,Michigan,Minnesota,Mississippi,North Carolina,Ohio,Pennsylvania,West Virginia,Wisconsin",0,0,0,0,0,0,1
"Cygnus buccinator","Alaska,Arkansas,Idaho,Illinois,Indiana,Iowa,Kentucky,Michigan,Minnesota,Nebraska,Ohio,Oklahoma,Oregon,South Dakota,Wyoming",0,1,0,0,1,1,0
"Cynomys gunnisoni","Arizona,Colorado,New Mexico,Utah",0,0,1,0,0,0,0
"Cynomys leucurus","Colorado,Montana,Utah",1,0,1,0,0,0,0
"Cynomys ludovicianus","Arizona,Colorado,Kansas,New Mexico,North Dakota,Oklahoma,Texas",0,0,1,1,0,0,1
"Cyperus lupulinus ssp. macilentus","Nebraska",0,0,0,0,0,1,0
"Cyperus odoratus","Hawaii,Massachusetts,Nebraska",0,0,0,0,0,1,0
"Cyprinella spiloptera","Arkansas,Kansas,Mississippi,New Jersey,Oklahoma",0,0,0,0,0,0,1
"Cypripedium candidum","Missouri,Nebraska",0,0,0,0,0,1,0
"Cypripedium parviflorum","Massachusetts,Nebraska",0,0,0,0,0,1,0
"Cyprogenia aberti","Arkansas,Kansas,Louisiana,Mississippi,Missouri,Oklahoma",0,0,0,0,0,0,1
"Cypseloides niger","California,Colorado,Idaho,Montana,New Mexico,Utah",1,0,1,0,0,0,0
"Cystopteris bulbifera","Nebraska,South Carolina",0,0,0,0,0,1,0
"Dactylorhiza viridis","Massachusetts,Nebraska,Tennessee,West Virginia",0,0,0,0,0,1,0
"Dalea cylindriceps","Nebraska",0,0,0,0,0,1,0
"Dalea multiflora","Nebraska",0,0,0,0,0,1,0
"Danaus plexippus","Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Georgia,Idaho,Illinois,Iowa,Kansas,Louisiana,Maine,Maryland,Michigan,Minnesota,Missouri,New Hampshire,New Jersey,North Carolina,North Dakota,Ohio,Oregon,Pennsylvania,Rhode Island,Vermont,Washington",0,0,1,1,0,0,1
"Danthonia spicata","Nebraska",0,0,0,0,0,1,0
"Dasistoma macrophylla","Louisiana,Nebraska,South Carolina,West Virginia",0,0,0,0,0,1,0
"Delphinium alpestre","Colorado",0,0,1,0,0,0,0
"Delphinium geyeri","Nebraska",0,0,0,0,0,1,0
"Delphinium nuttallianum","Nebraska",0,0,0,0,0,1,0
"Delphinium robustum","Colorado",0,0,1,0,0,0,0
"Delphinium tricorne","Nebraska",0,0,0,0,0,1,0
"Descurainia kenheilii","Colorado",0,0,1,0,0,0,0
"Descurainia pinnata ssp. halictorum","Nebraska",0,0,0,0,0,1,0
"Desmodium cuspidatum var. longifolium","Nebraska",0,0,0,0,0,1,0
"Desmodium sessilifolium","Nebraska",0,0,0,0,0,1,0
"Dicamptodon aterrimus","Montana",1,0,0,0,0,0,0
"Dichanthelium depauperatum","Nebraska",0,0,0,0,0,1,0
"Dichanthelium latifolium","Nebraska",0,0,0,0,0,1,0
"Dichanthelium linearifolium","Nebraska",0,0,0,0,0,1,0
"Dieteria canescens var. glabra","Nebraska",0,0,0,0,0,1,0
"Diodella teres","Nebraska",0,0,0,0,0,1,0
"Dioscorea villosa","Nebraska",0,0,0,0,0,1,0
"Diospyros virginiana","Nebraska",0,0,0,0,0,1,0
"Doellingeria umbellata var. pubens","Nebraska",0,0,0,0,0,1,0
"Dolichonyx oryzivorus","Colorado,Connecticut,Delaware,District of Columbia,Florida,Idaho,Illinois,Iowa,Kansas,Kentucky,Maine,Maryland,Massachusetts,Minnesota,Missouri,Nevada,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Oregon,Pennsylvania,Rhode Island,Vermont,West Virginia,Wisconsin,Wyoming",0,1,1,1,0,0,1
"Draba brachycarpa","Nebraska",0,0,0,0,0,1,0
"Draba cuneifolia var. cuneifolia","Nebraska",0,0,0,0,0,1,0
"Draba exunguiculata","Colorado",0,0,1,0,0,0,0
"Draba graminea","Colorado",0,0,1,0,0,0,0
"Draba grayana","Colorado",0,0,1,0,0,0,0
"Draba malpighiacea","Colorado",0,0,1,0,0,0,0
"Draba smithii","Colorado",0,0,1,0,0,0,0
"Draba weberi","Colorado",0,0,1,0,0,0,0
"Dracocephalum parviflorum","Nebraska,Vermont",0,0,0,0,0,1,0
"Dromogomphus spoliatus","Colorado,West Virginia",0,0,1,0,0,0,0
"Dryocopus pileatus","Nebraska,Oregon,Rhode Island,South Carolina,Texas",0,0,0,0,0,1,0
"Dryopteris carthusiana","Missouri,Nebraska,South Carolina,Tennessee",0,0,0,0,0,1,0
"Dryopteris cristata","Missouri,Nebraska,Tennessee",0,0,0,0,0,1,0
"Echinacea pallida","Nebraska,Tennessee",0,0,0,0,0,1,0
"Echinocereus viridiflorus","Nebraska",0,0,0,0,0,1,0
"Egretta thula","Arizona,Connecticut,Delaware,Florida,Illinois,Maine,Maryland,Massachusetts,Mississippi,Missouri,New Jersey,New York,North Carolina,Ohio,Oklahoma,Oregon,Rhode Island,South Carolina,Texas,Virginia,Wyoming",0,1,0,0,0,0,0
"Elatine brachysperma","Nebraska",0,0,0,0,0,1,0
"Eleocharis atropurpurea","Missouri,Nebraska",0,0,0,0,0,1,0
"Eleocharis coloradoensis","Nebraska",0,0,0,0,0,1,0
"Eleocharis geniculata","Louisiana,Nebraska",0,0,0,0,0,1,0
"Eleocharis quinqueflora","Massachusetts,Nebraska,Vermont",0,0,0,0,0,1,0
"Eleocharis rostellata","Nebraska,West Virginia",0,0,0,0,0,1,0
"Eleocharis wolfii","Georgia,Louisiana,Missouri,Nebraska,Tennessee",0,0,0,0,0,1,0
"Ellipsaria lineolata","Illinois,Iowa,Kansas,Kentucky,Louisiana,Minnesota,Mississippi,Ohio,Oklahoma,Pennsylvania,West Virginia,Wisconsin",0,0,0,0,0,0,1
"Ellipsoptera lepida","Arkansas,Connecticut,Delaware,Maryland,Minnesota,Nebraska,New Jersey,Oklahoma,Pennsylvania,South Dakota,Virginia,Wisconsin",0,0,0,0,1,1,0
"Ellipsoptera nevadica lincolniana","Nebraska",0,0,0,0,0,1,0
"Ellipsoptera nevadica makosika","South Dakota",0,0,0,0,1,0,0
"Elliptio dilatata","Alabama,Illinois,Iowa,Kansas,Louisiana,Minnesota,Mississippi,North Carolina,West Virginia",0,0,0,0,0,0,1
"Elodea bifoliata","Nebraska",0,0,0,0,0,1,0
"Elymus albicans","Nebraska",0,0,0,0,0,1,0
"Elymus trachycaulus ssp. andinus","Nebraska",0,0,0,0,0,1,0
"Elymus virginicus var. intermedius","Nebraska",0,0,0,0,0,1,0
"Elymus X pseudorepens","Nebraska",0,0,0,0,0,1,0
"Empidonax occidentalis","Arizona,Nebraska",0,0,0,0,0,1,0
"Empidonax traillii","Arkansas,California,Connecticut,Delaware,District of Columbia,Illinois,Kentucky,Maryland,New Jersey,Oklahoma,Oregon,Pennsylvania,Rhode Island,Tennessee,Wyoming",0,1,0,0,0,0,0
"Empidonax traillii extimus","Arizona,California,Colorado,Nevada,New Mexico,Utah",0,0,1,0,0,0,0
"Empidonax virescens","Delaware,Illinois,Iowa,Maryland,Minnesota,Missouri,Nebraska,New Jersey,North Carolina,Ohio,Rhode Island,South Carolina,Wisconsin",0,0,0,0,0,1,0
"Emydoidea blandingii","Illinois,Indiana,Iowa,Maine,Massachusetts,Michigan,Minnesota,Missouri,Nebraska,New Hampshire,New York,Ohio,Pennsylvania,Wisconsin",0,0,0,0,0,1,0
"Enallagma vesperum","Colorado,Delaware,West Virginia",0,0,1,0,0,0,0
"Encoptolophus subgracilis","Nebraska",0,0,0,0,0,1,0
"Ephemerella apopsis","Colorado",0,0,1,0,0,0,0
"Epioblasma triquetra","Alabama,Arkansas,Illinois,Indiana,Iowa,Kansas,Kentucky,Michigan,Minnesota,Mississippi,Missouri,Ohio,Pennsylvania,Tennessee,Virginia,West Virginia,Wisconsin",0,0,0,0,0,0,1
"Epitheca petechialis","Colorado,South Dakota",0,0,1,0,1,0,0
"Eptesicus fuscus","Connecticut,Delaware,District of Columbia,Florida,Louisiana,Maine,Maryland,Massachusetts,Minnesota,New Hampshire,New Jersey,North Dakota,Ohio,Pennsylvania,Rhode Island,South Carolina,Texas,Vermont,Wisconsin,Wyoming",0,1,0,1,0,0,0
"Equisetum fluviatile","Nebraska,West Virginia",0,0,0,0,0,1,0
"Eragrostis capillaris","Nebraska",0,0,0,0,0,1,0
"Eragrostis frankii","Massachusetts,Nebraska",0,0,0,0,0,1,0
"Eragrostis pilosa var. perplexa","Nebraska",0,0,0,0,0,1,0
"Eragrostis reptans","Nebraska",0,0,0,0,0,1,0
"Eragrostis secundiflora","Nebraska",0,0,0,0,0,1,0
"Erigeron caespitosus","Nebraska",0,0,0,0,0,1,0
"Erigeron divergens","Nebraska",0,0,0,0,0,1,0
"Erigeron kachinensis","Colorado",0,0,1,0,0,0,0
"Erigeron lonchophyllus","Nebraska",0,0,0,0,0,1,0
"Erigeron ochroleucus","Nebraska",0,0,0,0,0,1,0
"Erigeron subtrinervis","Nebraska",0,0,0,0,0,1,0
"Erigeron vetensis","Nebraska",0,0,0,0,0,1,0
"Erigeron wilkenii","Colorado",0,0,1,0,0,0,0
"Erimystax x-punctatus","Illinois,Iowa,Kansas,Minnesota,Missouri,Ohio,Pennsylvania,West Virginia,Wisconsin",0,0,0,0,0,0,1
"Eriogonum brandegeei","Colorado",0,0,1,0,0,0,0
"Eriogonum brevicaule var. brevicaule","Nebraska",0,0,0,0,0,1,0
"Eriogonum cernuum","Nebraska",0,0,0,0,0,1,0
"Eriogonum clavellatum","Colorado",0,0,1,0,0,0,0
"Eriogonum coloradense","Colorado",0,0,1,0,0,0,0
"Eriogonum gordonii","Nebraska",0,0,0,0,0,1,0
"Eriogonum pelinophilum","Colorado",0,0,1,0,0,0,0
"Eriophorum gracile","Massachusetts,Nebraska,Vermont",0,0,0,0,0,1,0
"Erpetogomphus compositus","Colorado,Washington",0,0,1,0,0,0,0
"Eryngium yuccifolium var. yuccifolium","Nebraska",0,0,0,0,0,1,0
"Erynnis afranius","Nebraska",0,0,0,0,0,1,0
"Erynnis baptisiae","Delaware,Florida,Louisiana,Nebraska",0,0,0,0,0,1,0
"Erynnis brizo","Connecticut,Iowa,Maine,Nebraska,New Jersey,Rhode Island",0,0,0,0,0,1,0
"Erynnis horatius","Connecticut,Nebraska",0,0,0,0,0,1,0
"Erynnis juvenalis","Iowa,Nebraska",0,0,0,0,0,1,0
"Erynnis martialis","Arkansas,Colorado,Connecticut,Delaware,Florida,Georgia,Illinois,Iowa,Kansas,Louisiana,Maryland,Michigan,Minnesota,Nebraska,New Jersey,New York,Ohio,Pennsylvania,Virginia,West Virginia,Wisconsin",0,0,1,0,0,1,1
"Erynnis persius fredericki","Nebraska",0,0,0,0,0,1,0
"Erysimum inconspicuum","Nebraska",0,0,0,0,0,1,0
"Erythemis vesiculosa","Colorado",0,0,1,0,0,0,0
"Erythronium mesochoreum","Nebraska",0,0,0,0,0,1,0
"Etheostoma blennioides","Kansas,Mississippi",0,0,0,0,0,0,1
"Etheostoma chlorosomum","Iowa,Kansas,Minnesota,Wisconsin",0,0,0,0,0,0,1
"Etheostoma cragini","Arkansas,Colorado,Kansas,Missouri,Oklahoma",0,0,1,0,0,0,1
"Etheostoma exile","Colorado,Illinois,Iowa,New York,Ohio,Pennsylvania,Wyoming",0,1,1,0,0,0,0
"Etheostoma flabellare","Kansas,Mississippi",0,0,0,0,0,0,1
"Etheostoma gracile","Kansas",0,0,0,0,0,0,1
"Etheostoma microperca","Arkansas,Illinois,Iowa,Kansas,Minnesota,Missouri,Ohio,Oklahoma,Wisconsin",0,0,0,0,0,0,1
"Etheostoma mihileze","Arkansas,Kansas,Oklahoma",0,0,0,0,0,0,1
"Etheostoma nigrum","Kansas,Maryland",0,0,0,0,0,0,1
"Etheostoma spectabile","Colorado,Iowa,Kansas,Michigan,Wyoming",0,1,1,0,0,0,1
"Etheostoma stigmaeum","Kansas,Virginia",0,0,0,0,0,0,1
"Etheostoma whipplei","Kansas,Missouri,Oklahoma",0,0,0,0,0,0,1
"Etheostoma zonale","Iowa,Kansas",0,0,0,0,0,0,1
"Euchloe ausonides palaeoreios","Nebraska",0,0,0,0,0,1,0
"Euderma maculatum","Arizona,Colorado,Nevada,New Mexico,Oregon,Texas,Utah,Washington,Wyoming",0,1,1,0,0,0,0
"Eumeces anthracinus","Alabama,Georgia,Kansas,Kentucky,Louisiana,Maryland,North Carolina,South Carolina,Tennessee",0,0,0,0,0,0,1
"Eumeces fasciatus","Nebraska,New Jersey",0,0,0,0,0,1,0
"Eumeces multivirgatus","South Dakota,Utah",0,0,0,0,1,0,0
"Eumeces septentrionalis","Arkansas,Iowa,North Dakota,Wisconsin",0,0,0,1,0,0,0
"Eunota togata","Nebraska",0,0,0,0,0,1,0
"Euphagus carolinus","Alabama,Arkansas,Delaware,District of Columbia,Florida,Georgia,Illinois,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Mississippi,Missouri,New Hampshire,New Jersey,New York,North Carolina,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",0,0,0,0,0,0,1
"Euphagus cyanocephalus","Florida,Nebraska,North Carolina,Wisconsin",0,0,0,0,0,1,0
"Euphilotes ancilla","Nebraska",0,0,0,0,0,1,0
"Euphilotes rita coloradensis","Colorado,Nebraska",0,0,1,0,0,1,0
"Euphilotes rita emmeli","Colorado",0,0,1,0,0,0,0
"Euphilotes spaldingi","Colorado",0,0,1,0,0,0,0
"Euphorbia dentata","Nebraska",0,0,0,0,0,1,0
"Euphorbia missurica","Nebraska",0,0,0,0,0,1,0
"Euphydryas anicia","Nebraska",0,0,0,0,0,1,0
"Euphyes bimacula","Colorado,Connecticut,Illinois,Iowa,Kansas,Maryland,Nebraska,New Jersey,Ohio,Pennsylvania,South Carolina,Vermont,Virginia,West Virginia",0,0,1,0,0,1,1
"Euphyes conspicua buchholzi","Nebraska",0,0,0,0,0,1,0
"Euphyes dion","Arkansas,Connecticut,Delaware,District of Columbia,Florida,Iowa,Louisiana,Maryland,Massachusetts,Nebraska,New Jersey,Ohio,Pennsylvania,Vermont",0,0,0,0,0,1,0
"Euphyes vestris","Nebraska",0,0,0,0,0,1,0
"Euproserpinus wiesti","Colorado,Idaho",0,0,1,0,0,0,0
"Eurycea longicauda","Delaware,Kansas,New York,West Virginia",0,0,0,0,0,0,1
"Eurycea lucifuga","Kansas,Mississippi,Missouri,Ohio,West Virginia",0,0,0,0,0,0,1
"Eurycea spelaea","Kansas,Missouri,Oklahoma",0,0,0,0,0,0,1
"Eurytides marcellus","Iowa,Nebraska,Ohio,Pennsylvania",0,0,0,0,0,1,0
"Eutrema edwardsii","Colorado",0,0,1,0,0,0,0
"Falco columbarius","Delaware,Florida,Michigan,Nebraska,North Carolina,Wyoming",0,1,0,0,0,1,0
"Falco mexicanus","Arizona,Colorado,Nebraska,Nevada,North Dakota,Oklahoma",0,0,1,1,0,1,0
"Falco peregrinus","Alaska,Connecticut,Delaware,District of Columbia,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming",0,1,0,1,1,1,1
"Falco peregrinus anatum","Arizona,Colorado,Maryland,Oregon",0,0,1,0,0,0,0
"Falco sparverius","Alaska,Arkansas,Connecticut,Delaware,District of Columbia,Iowa,Kentucky,Maine,Maryland,Massachusetts,Minnesota,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Pennsylvania,Rhode Island,Texas,Vermont,West Virginia",0,0,0,1,0,0,0
"Feniseca tarquinius","Delaware,Florida,Iowa,Nebraska,New Jersey,Pennsylvania",0,0,0,0,0,1,0
"Ferrissia fragilis","Colorado",0,0,1,0,0,0,0
"Ferrissia walkeri","Colorado",0,0,1,0,0,0,0
"Festuca saximontana var. saximontana","Nebraska",0,0,0,0,0,1,0
"Fimbristylis autumnalis","Nebraska,Vermont",0,0,0,0,0,1,0
"Fimbristylis vahlii","Nebraska,South Carolina",0,0,0,0,0,1,0
"Fossaria techella","Arizona,Nebraska,Utah",0,0,0,0,0,1,0
"Frasera coloradensis","Colorado",0,0,1,0,0,0,0
"Fritillaria atropurpurea","Nebraska",0,0,0,0,0,1,0
"Fundulus diaphanus","Illinois,Iowa,South Carolina,South Dakota,West Virginia",0,0,0,0,1,0,0
"Fundulus kansae","Kansas,Missouri,Wyoming",0,1,0,0,0,0,1
"Fundulus sciadicus","Colorado,Iowa,Minnesota,Missouri,Nebraska,Oklahoma,Wyoming",0,1,1,0,0,1,0
"Fusconaia flava","Iowa,Kansas,Nebraska,New York,North Dakota,Pennsylvania,West Virginia",0,0,0,1,0,1,1
"Gaillardia pulchella","Nebraska",0,0,0,0,0,1,0
"Galearis spectabilis","Connecticut,Massachusetts,Nebraska",0,0,0,0,0,1,0
"Gallinago delicata","Delaware,District of Columbia,Illinois,Iowa,Kentucky,Massachusetts,Nebraska,Pennsylvania,Rhode Island,West Virginia",0,0,0,0,0,1,0
"Gambelia wislizenii","Colorado,Nevada",0,0,1,0,0,0,0
"Gamochaeta purpurea","Massachusetts,Nebraska",0,0,0,0,0,1,0
"Gastrophryne carolinensis","Illinois,Kansas,Maryland",0,0,0,0,0,0,1
